event_title,event_url_html,event_img-src,event_tags,event_dates_html,event_date_span,Days,Time,event_item_html,venue_name,venue_url_html
Juneteenth Atlanta Parade & Music Festival,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/juneteenth-atlanta-parade-music-festival/"">Juneteenth Atlanta Parade &amp; Music Festival</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/02/Juneteenth_Atlanta_Parade_-300x300.jpg,Family Festivals Free Holiday Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 16 – Jun 18</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 10pm</td></tr></tbody></table></dd></dl>",Jun 16 – Jun 18,Every,10am – 10pm,"<td class=""thumb"">
<a title=""Juneteenth Atlanta Parade &amp; Music Festival"" href=""https://atlantaplanit.wabe.org/events/juneteenth-atlanta-parade-music-festival/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/02/Juneteenth_Atlanta_Parade_-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/02/Juneteenth_Atlanta_Parade_-300x300.jpg 300w, /wp-content/uploads/2017/02/Juneteenth_Atlanta_Parade_-63x63.jpg 63w, /wp-content/uploads/2017/02/Juneteenth_Atlanta_Parade_.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/juneteenth-atlanta-parade-music-festival/"">Juneteenth Atlanta Parade &amp; Music Festival</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a> <a href=""/holiday/"" rel=""tag"">Holiday</a> <a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 16 – Jun 18</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 10pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl> </td>",Atlanta,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl>"
Pick’n In Grant Park,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/pickn-in-grant-park/"">Pick’n In Grant Park</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/Pickn_In_Grant_Park-2589-300x300.jpg,Family Festivals Free Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 12 – May 13</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, May 12</td><td>5pm – 10pm</td></tr><tr><td>Sat, May 13</td><td>12pm – 10pm</td></tr></tbody></table></dd></dl>",May 12 – May 13,"Fri, May 12",5pm – 10pm,"<td class=""thumb"">
<a title=""Pick’n In Grant Park"" href=""https://atlantaplanit.wabe.org/events/pickn-in-grant-park/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/Pickn_In_Grant_Park-2589-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/Pickn_In_Grant_Park-2589-300x300.jpg 300w, /wp-content/uploads/2017/03/Pickn_In_Grant_Park-2589-63x63.jpg 63w, /wp-content/uploads/2017/03/Pickn_In_Grant_Park-2589.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/pickn-in-grant-park/"">Pick’n In Grant Park</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a> <a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 12 – May 13</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, May 12</td><td>5pm – 10pm</td></tr><tr><td>Sat, May 13</td><td>12pm – 10pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/grant-park/"">Grant Park</a></span></dd></dl> </td>",Grant Park,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/grant-park/"">Grant Park</a></span></dd></dl>"
Atlanta BeltLine Lantern Parade,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/art-on-the-atlanta-beltline-lantern-parade/"">Atlanta BeltLine Lantern Parade</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/Atlanta_BeltLine_Lantern_Parade-300x300.jpg,Family Festivals Free Galleries,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Sep 9</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 9</td><td>7:30pm – 11pm</td></tr></tbody></table></dd></dl>",9-Sep,"Sat, Sep 9",7:30pm – 11pm,"<td class=""thumb"">
<a title=""Atlanta BeltLine Lantern Parade"" href=""https://atlantaplanit.wabe.org/events/art-on-the-atlanta-beltline-lantern-parade/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2016/08/Atlanta_BeltLine_Lantern_Parade-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/08/Atlanta_BeltLine_Lantern_Parade-300x300.jpg 300w, /wp-content/uploads/2016/08/Atlanta_BeltLine_Lantern_Parade-63x63.jpg 63w, /wp-content/uploads/2016/08/Atlanta_BeltLine_Lantern_Parade.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/art-on-the-atlanta-beltline-lantern-parade/"">Atlanta BeltLine Lantern Parade</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a> <a href=""/galleries/"" rel=""tag"">Galleries</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Sep 9</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 9</td><td>7:30pm – 11pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl> </td>",Atlanta,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl>"
JAZZoetry Café,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/jazzoetry-cafe/"">JAZZoetry Café</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/JAZZoetry_Caf%C3%A9-300x300.jpg,Free Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 17</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Wed, May 17</td><td>7pm – 9pm</td></tr></tbody></table></dd></dl>",17-May,"Wed, May 17",7pm – 9pm,"<td class=""thumb"">
<a title=""JAZZoetry Café"" href=""https://atlantaplanit.wabe.org/events/jazzoetry-cafe/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/JAZZoetry_Café-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/JAZZoetry_Café-300x300.jpg 300w, /wp-content/uploads/2017/04/JAZZoetry_Café-63x63.jpg 63w, /wp-content/uploads/2017/04/JAZZoetry_Café.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/jazzoetry-cafe/"">JAZZoetry Café</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/free/"" rel=""tag"">Free</a> <a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 17</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Wed, May 17</td><td>7pm – 9pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/west-end-performing-arts-center/"">West End Performing Arts Center</a></span></dd></dl> </td>",West End Performing Arts Center,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/west-end-performing-arts-center/"">West End Performing Arts Center</a></span></dd></dl>"
East Atlanta Strut,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/east-atlanta-strut/"">East Atlanta Strut</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/02/East_atlanta_strut_logo-300x300.jpg,Festivals Free,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Sep 23</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 23</td><td>11am – 9pm</td></tr></tbody></table></dd></dl>",23-Sep,"Sat, Sep 23",11am – 9pm,"<td class=""thumb"">
<a title=""East Atlanta Strut"" href=""https://atlantaplanit.wabe.org/events/east-atlanta-strut/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/02/East_atlanta_strut_logo-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/02/East_atlanta_strut_logo-300x300.jpg 300w, /wp-content/uploads/2017/02/East_atlanta_strut_logo-63x63.jpg 63w, /wp-content/uploads/2017/02/East_atlanta_strut_logo.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/east-atlanta-strut/"">East Atlanta Strut</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Sep 23</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 23</td><td>11am – 9pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl> </td>",Atlanta,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl>"
Sing & Celebrate,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/sing-celebrate/"">Sing &amp; Celebrate</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Festival_Singers_of_Atlanta-300x300.jpg,Free Music,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 19</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, May 19</td><td>3pm – 4:30pm</td></tr></tbody></table></dd></dl>",19-May,"Fri, May 19",3pm – 4:30pm,"<td class=""thumb"">
<a title=""Sing &amp; Celebrate"" href=""https://atlantaplanit.wabe.org/events/sing-celebrate/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2016/06/Festival_Singers_of_Atlanta-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/06/Festival_Singers_of_Atlanta-300x300.jpg 300w, /wp-content/uploads/2016/06/Festival_Singers_of_Atlanta-63x63.jpg 63w, /wp-content/uploads/2016/06/Festival_Singers_of_Atlanta.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/sing-celebrate/"">Sing &amp; Celebrate</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/free/"" rel=""tag"">Free</a> <a href=""/music/"" rel=""tag"">Music</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 19</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, May 19</td><td>3pm – 4:30pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/northside-united-methodist-church/"">Northside United Methodist Church</a></span></dd></dl> </td>",Northside United Methodist Church,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/northside-united-methodist-church/"">Northside United Methodist Church</a></span></dd></dl>"
First Thursday Downtown Art Walk,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/first-thursday-downtown-art-walk/"">First Thursday Downtown Art Walk</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2016/12/CAP_-_Art_Walk.jpg,Free Galleries,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jan 5 – Dec 7</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, Jan 5<br>Thu, Feb 2<br>Thu, Mar 2<br>Thu, Apr 6<br>Thu, May 4<br>Thu, Jun 1<br>Thu, Jul 6<br>Thu, Aug 3<br>Thu, Sep 7<br>Thu, Oct 5<br>Thu, Nov 2<br>Thu, Dec 7</td><td>5pm – 8pm</td></tr></tbody></table></dd></dl>",Jan 5 – Dec 7,"Thu, Jan 5Thu, Feb 2Thu, Mar 2Thu, Apr 6Thu, May 4Thu, Jun 1Thu, Jul 6Thu, Aug 3Thu, Sep 7Thu, Oct 5Thu, Nov 2Thu, Dec 7",5pm – 8pm,"<td class=""thumb"">
<a title=""First Thursday Downtown Art Walk"" href=""https://atlantaplanit.wabe.org/events/first-thursday-downtown-art-walk/""><img width=""200"" height=""200"" src=""/wp-content/uploads/2016/12/CAP_-_Art_Walk.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/12/CAP_-_Art_Walk.jpg 200w, /wp-content/uploads/2016/12/CAP_-_Art_Walk-63x63.jpg 63w"" sizes=""(max-width: 200px) 100vw, 200px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/first-thursday-downtown-art-walk/"">First Thursday Downtown Art Walk</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/free/"" rel=""tag"">Free</a> <a href=""/galleries/"" rel=""tag"">Galleries</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jan 5 – Dec 7</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, Jan 5<br>Thu, Feb 2<br>Thu, Mar 2<br>Thu, Apr 6<br>Thu, May 4<br>Thu, Jun 1<br>Thu, Jul 6<br>Thu, Aug 3<br>Thu, Sep 7<br>Thu, Oct 5<br>Thu, Nov 2<br>Thu, Dec 7</td><td>5pm – 8pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/downtown-atlanta/"">Downtown Atlanta</a></span></dd></dl> </td>",Downtown Atlanta,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/downtown-atlanta/"">Downtown Atlanta</a></span></dd></dl>"
Madison Ave Soapbox Derby,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/madison-ave-soapbox-derby/"">Madison Ave Soapbox Derby</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/Madison_Ave_Soapbox_Derby-300x300.jpg,Family Festivals Free,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Oct 7</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Oct 7</td><td>12pm – 5:30pm</td></tr></tbody></table></dd></dl>",7-Oct,"Sat, Oct 7",12pm – 5:30pm,"<td class=""thumb"">
<a title=""Madison Ave Soapbox Derby"" href=""https://atlantaplanit.wabe.org/events/madison-ave-soapbox-derby/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/Madison_Ave_Soapbox_Derby-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/Madison_Ave_Soapbox_Derby-300x300.jpg 300w, /wp-content/uploads/2017/03/Madison_Ave_Soapbox_Derby-63x63.jpg 63w, /wp-content/uploads/2017/03/Madison_Ave_Soapbox_Derby.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/madison-ave-soapbox-derby/"">Madison Ave Soapbox Derby</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Oct 7</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Oct 7</td><td>12pm – 5:30pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl> </td>",Atlanta,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl>"
Maginot,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/maginot/"">Maginot</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/SCAD_-_Alex_Gringrow-300x300.jpg,Free Galleries,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 4 – Aug 4</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>8:30am – 5:30pm</td></tr></tbody></table></dd></dl>",May 4 – Aug 4,Every,8:30am – 5:30pm,"<td class=""thumb"">
<a title=""Maginot"" href=""https://atlantaplanit.wabe.org/events/maginot/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/SCAD_-_Alex_Gringrow-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/SCAD_-_Alex_Gringrow-300x300.jpg 300w, /wp-content/uploads/2017/04/SCAD_-_Alex_Gringrow-63x63.jpg 63w, /wp-content/uploads/2017/04/SCAD_-_Alex_Gringrow.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/maginot/"">Maginot</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/free/"" rel=""tag"">Free</a> <a href=""/galleries/"" rel=""tag"">Galleries</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 4 – Aug 4</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>8:30am – 5:30pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/scad-atlanta/"">SCAD Atlanta</a></span></dd></dl> </td>",SCAD Atlanta,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/scad-atlanta/"">SCAD Atlanta</a></span></dd></dl>"
Atlanta Warbird Weekend,"<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/atlanta-warbird-weekend-2/"">Atlanta Warbird Weekend</a>",https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/Atlanta_Warbird_Weekend-300x300.jpg,Family Festivals Free,"<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Oct 7 – Oct 8</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>9pm – 4pm</td></tr></tbody></table></dd></dl>",Oct 7 – Oct 8,Every,9pm – 4pm,"<td class=""thumb"">
<a title=""Atlanta Warbird Weekend"" href=""https://atlantaplanit.wabe.org/events/atlanta-warbird-weekend-2/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/Atlanta_Warbird_Weekend-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/Atlanta_Warbird_Weekend-300x300.jpg 300w, /wp-content/uploads/2017/03/Atlanta_Warbird_Weekend-63x63.jpg 63w, /wp-content/uploads/2017/03/Atlanta_Warbird_Weekend.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a> </td>
<td class=""title"">
<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/atlanta-warbird-weekend-2/"">Atlanta Warbird Weekend</a> </td>
<td class=""tags"">
<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a></span> </td>
<td class=""timetable"">
<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Oct 7 – Oct 8</span></dd></dl> <dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>9pm – 4pm</td></tr></tbody></table></dd></dl> </td>
<td class=""venue hide-if-list-view"">
<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/dekalb-peachtree-airport/"">DeKalb-Peachtree Airport</a></span></dd></dl> </td>",DeKalb-Peachtree Airport,"<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/dekalb-peachtree-airport/"">DeKalb-Peachtree Airport</a></span></dd></dl>"
