event_img-src,event_title,event_tags,event_dates_html,venue_name,venue_url_html,event_url_html,event_item_html,event_date_span,Days,Time
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/12/DecaturArtsFestival-CROP-300x300.jpg","Decatur Arts Festival","Dance Family Festivals Free Galleries Music Theater","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 27 – May 28</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 27</td><td>11am – 6pm</td></tr><tr><td>Sun, May 28</td><td>11am – 5pm</td></tr></tbody></table></dd></dl>","Decatur Square","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/decatur-square/"">Decatur Square</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/decatur-arts-festival/"">Decatur Arts Festival</a>","<td class=""thumb"">
	<a title=""Decatur Arts Festival"" href=""https://atlantaplanit.wabe.org/events/decatur-arts-festival/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2016/12/DecaturArtsFestival-CROP-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/12/DecaturArtsFestival-CROP-300x300.jpg 300w, /wp-content/uploads/2016/12/DecaturArtsFestival-CROP-63x63.jpg 63w, /wp-content/uploads/2016/12/DecaturArtsFestival-CROP.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/decatur-arts-festival/"">Decatur Arts Festival</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/dance/"" rel=""tag"">Dance</a> <a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a> <a href=""/galleries/"" rel=""tag"">Galleries</a> <a href=""/music/"" rel=""tag"">Music</a> <a href=""/theater/"" rel=""tag"">Theater</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 27 – May 28</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 27</td><td>11am – 6pm</td></tr><tr><td>Sun, May 28</td><td>11am – 5pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/decatur-square/"">Decatur Square</a></span></dd></dl>	</td>","May 27 – May 28","Sat, May 27","11am – 6pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/CORE_-_Walk-300x300.jpg","Walk","Dance Free","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 20</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 20</td><td>8pm – 10pm</td></tr></tbody></table></dd></dl>","Decatur Square","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/decatur-square/"">Decatur Square</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/walk/"">Walk</a>","<td class=""thumb"">
	<a title=""Walk"" href=""https://atlantaplanit.wabe.org/events/walk/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/CORE_-_Walk-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/CORE_-_Walk-300x300.jpg 300w, /wp-content/uploads/2017/03/CORE_-_Walk-63x63.jpg 63w, /wp-content/uploads/2017/03/CORE_-_Walk.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/walk/"">Walk</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/dance/"" rel=""tag"">Dance</a> <a href=""/free/"" rel=""tag"">Free</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 20</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 20</td><td>8pm – 10pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/decatur-square/"">Decatur Square</a></span></dd></dl>	</td>","May 20","Sat, May 20","8pm – 10pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/CORE_-_Walk-300x300.jpg","Walk","Dance","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 5 – May 12</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>8pm – 10pm</td></tr></tbody></table></dd></dl>","Serenbe Community","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/serenbe-community/"">Serenbe Community</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/walk-2/"">Walk</a>","<td class=""thumb"">
	<a title=""Walk"" href=""https://atlantaplanit.wabe.org/events/walk-2/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/CORE_-_Walk-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/CORE_-_Walk-300x300.jpg 300w, /wp-content/uploads/2017/03/CORE_-_Walk-63x63.jpg 63w, /wp-content/uploads/2017/03/CORE_-_Walk.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/walk-2/"">Walk</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/dance/"" rel=""tag"">Dance</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 5 – May 12</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>8pm – 10pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/serenbe-community/"">Serenbe Community</a></span></dd></dl>	</td>","May 5 – May 12","Every","8pm – 10pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/IMG_0449-498-300x300.jpg","Orfeo","Dance Music","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 6 – May 13</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 6</td><td>4pm – 6pm</td></tr><tr><td>Wed, May 10</td><td>7:15pm – 7:45pm</td></tr><tr><td>Thu, May 11<br>Sat, May 13</td><td>7:15pm – 10pm</td></tr></tbody></table></dd></dl>","Woodruff Arts Center, Symphony Hall","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/woodruff-arts-center-symphony-hall/"">Woodruff Arts Center, Symphony Hall</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/orfeo-2/"">Orfeo</a>","<td class=""thumb"">
	<a title=""Orfeo"" href=""https://atlantaplanit.wabe.org/events/orfeo-2/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/IMG_0449-498-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/IMG_0449-498-300x300.jpg 300w, /wp-content/uploads/2017/04/IMG_0449-498-63x63.jpg 63w, /wp-content/uploads/2017/04/IMG_0449-498-600x600.jpg 600w, /wp-content/uploads/2017/04/IMG_0449-498.jpg 981w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/orfeo-2/"">Orfeo</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/dance/"" rel=""tag"">Dance</a> <a href=""/music/"" rel=""tag"">Music</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 6 – May 13</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 6</td><td>4pm – 6pm</td></tr><tr><td>Wed, May 10</td><td>7:15pm – 7:45pm</td></tr><tr><td>Thu, May 11<br>Sat, May 13</td><td>7:15pm – 10pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/woodruff-arts-center-symphony-hall/"">Woodruff Arts Center, Symphony Hall</a></span></dd></dl>	</td>","May 6 – May 13","Sat, May 6","4pm – 6pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/02/AB_-_Camino_Real.jpg","Camino Real","Dance","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 12 – May 14</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>8pm – 10pm<br>2pm – 4pm</td></tr></tbody></table></dd></dl>","Cobb Energy Performing Arts Centre","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/cobb-energy-performing-arts-centre/"">Cobb Energy Performing Arts Centre</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/camino-real/"">Camino Real</a>","<td class=""thumb"">
	<a title=""Camino Real"" href=""https://atlantaplanit.wabe.org/events/camino-real/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/02/AB_-_Camino_Real.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/02/AB_-_Camino_Real.jpg 300w, /wp-content/uploads/2017/02/AB_-_Camino_Real-63x63.jpg 63w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/camino-real/"">Camino Real</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/dance/"" rel=""tag"">Dance</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 12 – May 14</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>8pm – 10pm<br>2pm – 4pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/cobb-energy-performing-arts-centre/"">Cobb Energy Performing Arts Centre</a></span></dd></dl>	</td>","May 12 – May 14","Every","8pm – 10pm2pm – 4pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/Ballethnic_-_Fusion-300x300.jpg","Fusion II: L’Esprit de la Dance","Dance Music","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 13</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 13</td><td>7pm – 9pm</td></tr></tbody></table></dd></dl>","Emory University, Performing Arts Studio","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/emory-university-performing-arts-studio/"">Emory University, Performing Arts Studio</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/fusion-ii-lesprit-de-la-dance/"">Fusion II: L’Esprit de la Dance</a>","<td class=""thumb"">
	<a title=""Fusion II: L’Esprit de la Dance"" href=""https://atlantaplanit.wabe.org/events/fusion-ii-lesprit-de-la-dance/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/Ballethnic_-_Fusion-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/Ballethnic_-_Fusion-300x300.jpg 300w, /wp-content/uploads/2017/04/Ballethnic_-_Fusion-63x63.jpg 63w, /wp-content/uploads/2017/04/Ballethnic_-_Fusion.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/fusion-ii-lesprit-de-la-dance/"">Fusion II: L’Esprit de la Dance</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/dance/"" rel=""tag"">Dance</a> <a href=""/music/"" rel=""tag"">Music</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 13</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 13</td><td>7pm – 9pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/emory-university-performing-arts-studio/"">Emory University, Performing Arts Studio</a></span></dd></dl>	</td>","May 13","Sat, May 13","7pm – 9pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/Bring_It_Live-300x300.jpg","Bring It Live","Dance","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 29</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, Jun 29</td><td>7pm – 10pm</td></tr></tbody></table></dd></dl>","Fox Theatre","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/fox-theatre/"">Fox Theatre</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/bring-it-live/"">Bring It Live</a>","<td class=""thumb"">
	<a title=""Bring It Live"" href=""https://atlantaplanit.wabe.org/events/bring-it-live/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/Bring_It_Live-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/Bring_It_Live-300x300.jpg 300w, /wp-content/uploads/2017/04/Bring_It_Live-63x63.jpg 63w, /wp-content/uploads/2017/04/Bring_It_Live.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/bring-it-live/"">Bring It Live</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/dance/"" rel=""tag"">Dance</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 29</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, Jun 29</td><td>7pm – 10pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/fox-theatre/"">Fox Theatre</a></span></dd></dl>	</td>","Jun 29","Thu, Jun 29","7pm – 10pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/Ballethnic_-_Open_House-300x300.jpg","Ballethnic Dance Academy: Over the Rainbow","Dance","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 27</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 27</td><td>4pm – 6pm</td></tr></tbody></table></dd></dl>","Southwest Arts Center","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/southwest-arts-center/"">Southwest Arts Center</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/ballethnic-dance-academy-over-the-rainbow/"">Ballethnic Dance Academy: Over the Rainbow</a>","<td class=""thumb"">
	<a title=""Ballethnic Dance Academy: Over the Rainbow"" href=""https://atlantaplanit.wabe.org/events/ballethnic-dance-academy-over-the-rainbow/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/Ballethnic_-_Open_House-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/Ballethnic_-_Open_House-300x300.jpg 300w, /wp-content/uploads/2017/04/Ballethnic_-_Open_House-63x63.jpg 63w, /wp-content/uploads/2017/04/Ballethnic_-_Open_House.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/ballethnic-dance-academy-over-the-rainbow/"">Ballethnic Dance Academy: Over the Rainbow</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/dance/"" rel=""tag"">Dance</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 27</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 27</td><td>4pm – 6pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/southwest-arts-center/"">Southwest Arts Center</a></span></dd></dl>	</td>","May 27","Sat, May 27","4pm – 6pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/12/Fox_-_Move.jpg","Move Live on Tour","Dance Theater","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 11</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, May 11</td><td>7:30pm – 9:30pm</td></tr></tbody></table></dd></dl>","Fox Theatre","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/fox-theatre/"">Fox Theatre</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/move-live-on-tour/"">Move Live on Tour</a>","<td class=""thumb"">
	<a title=""Move Live on Tour"" href=""https://atlantaplanit.wabe.org/events/move-live-on-tour/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2016/12/Fox_-_Move.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/12/Fox_-_Move.jpg 300w, /wp-content/uploads/2016/12/Fox_-_Move-63x63.jpg 63w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/move-live-on-tour/"">Move Live on Tour</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/dance/"" rel=""tag"">Dance</a> <a href=""/theater/"" rel=""tag"">Theater</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 11</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, May 11</td><td>7:30pm – 9:30pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/fox-theatre/"">Fox Theatre</a></span></dd></dl>	</td>","May 11","Thu, May 11","7:30pm – 9:30pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/Ballethnic_-_Fusion-300x300.jpg","Fusion II: L’Esprit de la Dance","Dance Music","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 14</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, May 14</td><td>3pm – 5pm</td></tr></tbody></table></dd></dl>","Atlanta","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/fusion-ii-lesprit-de-la-dance-2/"">Fusion II: L’Esprit de la Dance</a>","<td class=""thumb"">
	<a title=""Fusion II: L’Esprit de la Dance"" href=""https://atlantaplanit.wabe.org/events/fusion-ii-lesprit-de-la-dance-2/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/Ballethnic_-_Fusion-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/Ballethnic_-_Fusion-300x300.jpg 300w, /wp-content/uploads/2017/04/Ballethnic_-_Fusion-63x63.jpg 63w, /wp-content/uploads/2017/04/Ballethnic_-_Fusion.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/fusion-ii-lesprit-de-la-dance-2/"">Fusion II: L’Esprit de la Dance</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/dance/"" rel=""tag"">Dance</a> <a href=""/music/"" rel=""tag"">Music</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 14</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, May 14</td><td>3pm – 5pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl>	</td>","May 14","Sun, May 14","3pm – 5pm"
