event_link,event_link-href,event_title,event_dates,Days,Time,event_admission,event_description,venue_name,venue_address,venue_events_button
"Day of the Dead, Dia de los Muertos","https://atlantaplanit.wabe.org/events/day-of-the-dead-dia-de-los-muertos/","null","null","Sun, Oct 29","12pm – 5pm","Free!","Visitors of all ages learn about and experience a Day of the Dead Festival. Guests enjoy storytelling, crafts, and authentic Mexican food and entertainment. View a display of altars honoring lost family and friends that are decorated with flowers, favorite foods, and beverages.","null","130 West Paces Ferry Rd. NW
ATLANTA, GA 30305",""
"Sensory Friendly Saturdays","https://atlantaplanit.wabe.org/events/sensory-friendly-saturdays/","Sensory Friendly Saturdays","Jan 7 – Dec 2","Sat, Jan 7Sat, Feb 4Sat, Mar 4Sat, Apr 1Sat, May 6Sat, Jun 3Sat, Jul 1Sat, Aug 5Sat, Sep 2Sat, Oct 7Sat, Nov 4Sat, Dec 2","9am – 10am","General Admission$5","The first Saturday of every month, the Museum opens at 9 a.m. for families with children on the autism spectrum. Our piano stairs and other noise will be turned off. Quiet spots will be set up throughout the Museum.","The Children’s Museum of Atlanta","275 Centennial Olympic Park Dr. NW
ATLANTA, GA 30313",""
"Shopkins Live!","https://atlantaplanit.wabe.org/events/shopkins-live-2/","Shopkins Live!","Oct 7","Sat, Oct 7","3pm – 5pm","Single ticket prices range from $25 to $55","Based on America’s #1 toy brand, Youtube sensation and international toy phenomenon created in Australia by Moose Toys, Shopkins Live! features The Shoppies and Shopkins characters taking the stage with an all new storyline, original pop music and video highlights as ‘Jessicake,’ ‘Bubbleisha,’ ‘Peppa-Mint’ and friends prepare for Shopville’s annual “Funtastic Food and Fashion Fair.”","Fox Theatre","660 Peachtree St. NE
ATLANTA, GA 30308",""
"Woofstock","https://atlantaplanit.wabe.org/events/woofstock/","null","May 6 – Oct 1","Sat, May 6Sat, Sep 30","12pm – 7pm","Free!","Woofstock is one of the largest pet adoption events in the southeast (with over 2,500 people) and it features a variety of activities for the whole family (including all family pets) to enjoy! The entertainment includes: live music, dog contests, a kid’s area including inflatables, pet adoptions, pet vendors, arts and crafts, delicious food trucks and ice cold beverages.





Event Locations:


Saturday, 5/6 and Sunday, 5/7 at Suwanee Town Center


330 Town Center Ave


Suwanee, GA 30024





Saturday, 9/30 and Sunday, 10/1 at Smyrna Market Village


1265 W Spring St


Smyrna, GA 30080","null","ATLANTA, GA 30303",""
"The Roswell Lavender Festival","https://atlantaplanit.wabe.org/events/the-roswell-lavender-festival/","null","null","Sat, Jun 10","10am – 5pm","Free!","The Annual Roswell Lavender Festival is inspired by Roswell's Barrington Hall’s own lavender queen, Evelyn Simpson, a descendant of Barrington. The festival is a celebration of all things lavender and will feature the many varieties, uses and folk remedies associated with this ancient plant.","null","535 Barrington Dr.
ROSWELL, GA 30075",""
"Atlanta Streets Alive: Westside","https://atlantaplanit.wabe.org/events/atlanta-streets-alive-westside/","null","null","Sun, Jun 11","4pm – 8pm","Free","The streets of Atlanta come to life on June 11 from 4 p.m. to 8 p.m. as portions of Howell Mill Road and Marietta Street are opened to people on foot, bike, and other human-powered activities, and closed to motorized traffic. 





Participants can expect a wealth of activities hosted by community organizations and businesses. Community groups and businesses can get involved by: extending business onto the sidewalk by setting up cafe tables or displays and serving guests and customers; planning or sponsoring an activity that activates the space in front of their business; volunteering to help run the event or becoming a sponsor of the event.





The route follows Howell Mill Road and Marietta Street, as far south as Centennial Olympic Park and Woodruff Park in Downtown Atlanta. The full map route is available at atlantastreetsalive.com/dates.","null","265 Centennial Olympic Park Dr.
ATLANTA, GA 30303",""
"Alpharetta Arts Streetfest","https://atlantaplanit.wabe.org/events/alpharetta-arts-streetfest/","null","null","Sat, May 27Sun, May 28Mon, May 29","10am – 5pm","Free","The City of Alpharetta and Splash Festivals are excited to present the 13th Annual Alpharetta Arts Streetfest on Memorial Day weekend. This three-day event will host more than 90 colorful artisans from around the country who will showcase their works in the Alpharetta Historic District.  This much anticipated festival will feature live music, cultural arts performances, entertaining children’s activities, and a variety festival cuisine.","null","20 North Main St.
ALPHARETTA, GA 30009",""
"Sandy Springs Festival","https://atlantaplanit.wabe.org/events/sandy-springs-festival-2/","null","null","Sat, Sep 23","9am – 6pm","Free!","The 32nd Annual Sandy Springs Festival offers two exciting days of art, live music, cultural performances, a pet parade, Chalk Walk Art Competition, 10K and 5K race, children’s programming, classic rides, gourmet and festival food options, and much more.





The Sandy Springs Festival has grown from a small picnic to a major event drawing over 20,000 attendees. As the primary fundraiser for Heritage Sandy Springs – the nonprofit organization that saved the original “sandy springs” and is dedicated to a vibrant community engaged in history, culture, and stewardship – this celebrated community tradition has something for everyone!","null","6110 Bluestone Rd.
SANDY SPRINGS, GA 30328",""
"Southern Museum of Civil War and Locomotive History","https://atlantaplanit.wabe.org/events/southern-museum-of-civil-war-and-locomotive-history/","Southern Museum of Civil War and Locomotive History","Dec 1, 2016 – Dec 31, 2017","Every","9:30am – 5pm11am – 6pm","Adults$7.50Seniors$6.50Children (ages 4 to 12)$5.50Children (3 and under)Free!","Experience the dramatic history of railroads and the War Between the States at the Southern Museum of Civil War & Locomotive History! A Smithsonian Affiliations member, the Museum provides visitors with a unique perspective into the strategic and economic use of railroads during and after the Civil War. The Museum is home to the General locomotive, made famous during the Great Locomotive Chase of 1862, an impressive Civil War collection, and the Glover Machine Works, a restored early 20th century belt-driven locomotive assembly line. The Jolley Education Center offers numerous hands-on and interactive exhibits that are fun for the entire family, and the Cobb Energy Gallery features traveling exhibits from the Smithsonian Institution Traveling Exhibition Service, as well as other sources. The Southern Museum’s educational programs reinforce classroom learning by connecting historical information with actual artifacts.","Southern Museum of Civil War and Locomotive History","2829 Cherokee St.
KENNESAW, GA 30144",""
"Toddler Thursdays","https://atlantaplanit.wabe.org/events/toddler-thursdays/","Toddler Thursdays","Dec 22, 2016 – Dec 28, 2017","Every","10am – 4pm","Free with Museum AdmissionGeneral Admission$14.50Children (5 and under)Free!","Drop by the High to craft original artwork with your tot at this popular pre-school program. Head into the galleries to investigate featured works of art and discover new ways of looking at the High's collection through letters, numbers, colors and shapes. Bring your toddlers to explore a new theme each week, with related artworks, art projects, stories and tours. The event is designed for children ages 15 months to four years old. No registration is required, and children must be accompanied by an adult. The workshop will close for lunch and a short catnap from 1 to 1:30 p.m.","High Museum of Art","1280 Peachtree St. NE
ATLANTA, GA 30309",""
