event_img-src,event_title,event_tags,event_dates_html,venue_name,venue_url_html,event_url_html,event_item_html,event_date_span,Days,Time
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/Stone_Mountain_Park_Memorial_Day_Weekend-300x300.jpg","Stone Mountain Park Memorial Day Weekend","Family Festivals Holiday","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 26 – May 29</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 10pm</td></tr></tbody></table></dd></dl>","Stone Mountain Park","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/stone-mountain-park-2/"">Stone Mountain Park</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/stone-mountain-park-memorial-day-weekend/"">Stone Mountain Park Memorial Day Weekend</a>","<td class=""thumb"">
	<a title=""Stone Mountain Park Memorial Day Weekend"" href=""https://atlantaplanit.wabe.org/events/stone-mountain-park-memorial-day-weekend/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/Stone_Mountain_Park_Memorial_Day_Weekend-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/Stone_Mountain_Park_Memorial_Day_Weekend-300x300.jpg 300w, /wp-content/uploads/2017/03/Stone_Mountain_Park_Memorial_Day_Weekend-63x63.jpg 63w, /wp-content/uploads/2017/03/Stone_Mountain_Park_Memorial_Day_Weekend.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/stone-mountain-park-memorial-day-weekend/"">Stone Mountain Park Memorial Day Weekend</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/holiday/"" rel=""tag"">Holiday</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 26 – May 29</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 10pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/stone-mountain-park-2/"">Stone Mountain Park</a></span></dd></dl>	</td>","May 26 – May 29","Every","10am – 10pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/Atlanta_Greek_Festival-300x300.jpg","Atlanta Greek Festival","Family Festivals","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Sep 28 – Oct 1</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, Sep 28<br>Fri, Sep 29</td><td>5pm – 11pm</td></tr><tr><td>Sat, Sep 30</td><td>11am – 11pm</td></tr><tr><td>Sun, Oct 1</td><td>11am – 7pm</td></tr></tbody></table></dd></dl>","Greek Orthodox Church","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/greek-orthodox-church/"">Greek Orthodox Church</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/atlanta-greek-festival/"">Atlanta Greek Festival</a>","<td class=""thumb"">
	<a title=""Atlanta Greek Festival"" href=""https://atlantaplanit.wabe.org/events/atlanta-greek-festival/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/Atlanta_Greek_Festival-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/Atlanta_Greek_Festival-300x300.jpg 300w, /wp-content/uploads/2017/03/Atlanta_Greek_Festival-63x63.jpg 63w, /wp-content/uploads/2017/03/Atlanta_Greek_Festival.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/atlanta-greek-festival/"">Atlanta Greek Festival</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Sep 28 – Oct 1</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, Sep 28<br>Fri, Sep 29</td><td>5pm – 11pm</td></tr><tr><td>Sat, Sep 30</td><td>11am – 11pm</td></tr><tr><td>Sun, Oct 1</td><td>11am – 7pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/greek-orthodox-church/"">Greek Orthodox Church</a></span></dd></dl>	</td>","Sep 28 – Oct 1","Thu, Sep 28Fri, Sep 29","5pm – 11pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Piedmont_Park_arts_festival-300x300.jpg","Piedmont Park Arts Festival","Family Festivals Free Galleries Music","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Aug 19 – Aug 20</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Aug 19</td><td>10am – 5pm</td></tr><tr><td>Sun, Aug 20</td><td>11am – 5pm</td></tr></tbody></table></dd></dl>","Piedmont Park","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/piedmont-park-2/"">Piedmont Park</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/piedmont-park-arts-festival/"">Piedmont Park Arts Festival</a>","<td class=""thumb"">
	<a title=""Piedmont Park Arts Festival"" href=""https://atlantaplanit.wabe.org/events/piedmont-park-arts-festival/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2016/07/Piedmont_Park_arts_festival-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/07/Piedmont_Park_arts_festival-300x300.jpg 300w, /wp-content/uploads/2016/07/Piedmont_Park_arts_festival-63x63.jpg 63w, /wp-content/uploads/2016/07/Piedmont_Park_arts_festival.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/piedmont-park-arts-festival/"">Piedmont Park Arts Festival</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a> <a href=""/galleries/"" rel=""tag"">Galleries</a> <a href=""/music/"" rel=""tag"">Music</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Aug 19 – Aug 20</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Aug 19</td><td>10am – 5pm</td></tr><tr><td>Sun, Aug 20</td><td>11am – 5pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/piedmont-park-2/"">Piedmont Park</a></span></dd></dl>	</td>","Aug 19 – Aug 20","Sat, Aug 19","10am – 5pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/02/Stone_Mountain_Highland_Games-300x300.jpg","Stone Mountain Highland Games","Family Festivals","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Oct 20 – Oct 22</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>8am – 5pm</td></tr></tbody></table></dd></dl>","Stone Mountain Park","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/stone-mountain-park-2/"">Stone Mountain Park</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/stone-mountain-highland-games/"">Stone Mountain Highland Games</a>","<td class=""thumb"">
	<a title=""Stone Mountain Highland Games"" href=""https://atlantaplanit.wabe.org/events/stone-mountain-highland-games/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/02/Stone_Mountain_Highland_Games-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/02/Stone_Mountain_Highland_Games-300x300.jpg 300w, /wp-content/uploads/2017/02/Stone_Mountain_Highland_Games-63x63.jpg 63w, /wp-content/uploads/2017/02/Stone_Mountain_Highland_Games.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/stone-mountain-highland-games/"">Stone Mountain Highland Games</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Oct 20 – Oct 22</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>8am – 5pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/stone-mountain-park-2/"">Stone Mountain Park</a></span></dd></dl>	</td>","Oct 20 – Oct 22","Every","8am – 5pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/Decatur_Beach_Party-300x300.jpg","Decatur Beach Party","Family Festivals","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 17</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 17</td><td>5pm – 11pm</td></tr></tbody></table></dd></dl>","Decatur Square","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/decatur-square/"">Decatur Square</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/decatur-beach-party/"">Decatur Beach Party</a>","<td class=""thumb"">
	<a title=""Decatur Beach Party"" href=""https://atlantaplanit.wabe.org/events/decatur-beach-party/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/Decatur_Beach_Party-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/Decatur_Beach_Party-300x300.jpg 300w, /wp-content/uploads/2017/03/Decatur_Beach_Party-63x63.jpg 63w, /wp-content/uploads/2017/03/Decatur_Beach_Party.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/decatur-beach-party/"">Decatur Beach Party</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 17</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 17</td><td>5pm – 11pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/decatur-square/"">Decatur Square</a></span></dd></dl>	</td>","Jun 17","Sat, Jun 17","5pm – 11pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/DEFAULTevent.jpg","Marietta Fourth in the Park","Family Festivals Free","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jul 4</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Tue, Jul 4</td><td>10am – 10pm</td></tr></tbody></table></dd></dl>","Marietta Square","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/marietta-square/"">Marietta Square</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/marietta-fourth-in-the-park/"">Marietta Fourth in the Park</a>","<td class=""thumb"">
	<a title=""Marietta Fourth in the Park"" href=""https://atlantaplanit.wabe.org/events/marietta-fourth-in-the-park/""><img width=""280"" height=""280"" src=""/wp-content/uploads/2016/06/DEFAULTevent.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/06/DEFAULTevent.jpg 280w, /wp-content/uploads/2016/06/DEFAULTevent-60x60.jpg 60w, /wp-content/uploads/2016/06/DEFAULTevent-200x200.jpg 200w, /wp-content/uploads/2016/06/DEFAULTevent-63x63.jpg 63w, /wp-content/uploads/2016/06/DEFAULTevent-150x150.jpg 150w, /wp-content/uploads/2016/06/DEFAULTevent-220x220.jpg 220w"" sizes=""(max-width: 280px) 100vw, 280px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/marietta-fourth-in-the-park/"">Marietta Fourth in the Park</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jul 4</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Tue, Jul 4</td><td>10am – 10pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/marietta-square/"">Marietta Square</a></span></dd></dl>	</td>","Jul 4","Tue, Jul 4","10am – 10pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Chatt_-_Sign.jpg","Chattahoochee Nature Center","Family","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Dec 1, 2016 – Dec 31, 2017</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 5pm<br>12pm – 5pm</td></tr></tbody></table></dd></dl>","Chattahoochee Nature Center","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/chattahoochee-nature-center/"">Chattahoochee Nature Center</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/chattahoochee-nature-center/"">Chattahoochee Nature Center</a>","<td class=""thumb"">
	<a title=""Chattahoochee Nature Center"" href=""https://atlantaplanit.wabe.org/events/chattahoochee-nature-center/""><img width=""200"" height=""200"" src=""/wp-content/uploads/2016/06/Chatt_-_Sign.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/06/Chatt_-_Sign.jpg 200w, /wp-content/uploads/2016/06/Chatt_-_Sign-63x63.jpg 63w"" sizes=""(max-width: 200px) 100vw, 200px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/chattahoochee-nature-center/"">Chattahoochee Nature Center</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Dec 1, 2016 – Dec 31, 2017</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 5pm<br>12pm – 5pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/chattahoochee-nature-center/"">Chattahoochee Nature Center</a></span></dd></dl>	</td>","Dec 1, 2016 – Dec 31, 2017","Every","10am – 5pm12pm – 5pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/CPA_-_Labyrinth.jpg","Jim Henson’s Labyrinth: Journey to Goblin City","Family Museums","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Sep 2, 2016 – Sep 3, 2017</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>9am – 5pm<br>10am – 5pm<br>12pm – 5pm</td></tr></tbody></table></dd></dl>","Center for Puppetry Arts","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/center-for-puppetry-arts/"">Center for Puppetry Arts</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/jim-hensons-labyrinth-journey-to-goblin-city/"">Jim Henson’s Labyrinth: Journey to Goblin City</a>","<td class=""thumb"">
	<a title=""Jim Henson’s Labyrinth: Journey to Goblin City"" href=""https://atlantaplanit.wabe.org/events/jim-hensons-labyrinth-journey-to-goblin-city/""><img width=""280"" height=""280"" src=""/wp-content/uploads/2016/06/CPA_-_Labyrinth.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/06/CPA_-_Labyrinth.jpg 280w, /wp-content/uploads/2016/06/CPA_-_Labyrinth-63x63.jpg 63w"" sizes=""(max-width: 280px) 100vw, 280px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/jim-hensons-labyrinth-journey-to-goblin-city/"">Jim Henson’s Labyrinth: Journey to Goblin City</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/museums/"" rel=""tag"">Museums</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Sep 2, 2016 – Sep 3, 2017</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>9am – 5pm<br>10am – 5pm<br>12pm – 5pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/center-for-puppetry-arts/"">Center for Puppetry Arts</a></span></dd></dl>	</td>","Sep 2, 2016 – Sep 3, 2017","Every","9am – 5pm10am – 5pm12pm – 5pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/CNC_-_Water_Day-300x300.jpg","Water Day","Family Festivals","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Aug 6</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, Aug 6</td><td>12pm – 2pm</td></tr></tbody></table></dd></dl>","Chattahoochee Nature Center","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/chattahoochee-nature-center/"">Chattahoochee Nature Center</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/water-day/"">Water Day</a>","<td class=""thumb"">
	<a title=""Water Day"" href=""https://atlantaplanit.wabe.org/events/water-day/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/CNC_-_Water_Day-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/CNC_-_Water_Day-300x300.jpg 300w, /wp-content/uploads/2017/03/CNC_-_Water_Day-63x63.jpg 63w, /wp-content/uploads/2017/03/CNC_-_Water_Day.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/water-day/"">Water Day</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Aug 6</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, Aug 6</td><td>12pm – 2pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/chattahoochee-nature-center/"">Chattahoochee Nature Center</a></span></dd></dl>	</td>","Aug 6","Sun, Aug 6","12pm – 2pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/02/chalktob-300x300.png","Chalktoberfest","Family Festivals Free","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Oct 14 – Oct 15</span></dd></dl>","Marietta Square","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/marietta-square/"">Marietta Square</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/chalktoberfest/"">Chalktoberfest</a>","<td class=""thumb"">
	<a title=""Chalktoberfest"" href=""https://atlantaplanit.wabe.org/events/chalktoberfest/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/02/chalktob-300x300.png"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/02/chalktob-300x300.png 300w, /wp-content/uploads/2017/02/chalktob-63x63.png 63w, /wp-content/uploads/2017/02/chalktob.png 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/chalktoberfest/"">Chalktoberfest</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Oct 14 – Oct 15</span></dd></dl>			</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/marietta-square/"">Marietta Square</a></span></dd></dl>	</td>","Oct 14 – Oct 15","",""
