festival_list_link,festival_list_link-href,event_name,event_dates,event_cost,event_description,event_date_time,event_location_name,event_location_address,event_venue_html
"Imagine Music Festival","https://atlantaplanit.wabe.org/events/imagine-music-festival/","Imagine Music Festival","Sep 22 – Sep 24","null","Imagine Music Festival (IMF) is an electronic dance music festival held in Atlanta. Voted Top 30 festival in the world by ""Fest300,"" and Top Ten Emerging Music Festivals by ""USA Today,"" the festival features multiple stages hosting the world’s top electronic musicians, DJ's and bands along with captivating cirque style acts & performances.


*18 and over event





This event takes place at:


Atlanta Motor Speedway


1500 Tara Pl


Hampton GA 30228","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, Sep 22<br>Sat, Sep 23</td><td>5pm – 3am</td></tr><tr><td>Sun, Sep 24</td><td>5pm – 12am</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Juneteenth Atlanta Parade & Music Festival","https://atlantaplanit.wabe.org/events/juneteenth-atlanta-parade-music-festival/","Juneteenth Atlanta Parade & Music Festival","Jun 16 – Jun 18","null","Juneteenth is the event that all people and especially people of African descent should know as America’s second Independence Day celebration and the oldest known celebration commemorating the ending of slavery in the United States of America. It has also been called Freedom Day or Emancipation Day and rightly so. Juneteenth represents the freedom that African descendants stand on today.





This event takes place at:


Morris Brown College


643 Martin Luther King Jr Dr NW


Atlanta, GA 30314","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 10pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Atlanta Ice Cream Festival","https://atlantaplanit.wabe.org/events/atlanta-ice-cream-festival/","Atlanta Ice Cream Festival","Jul 22","Free!","The Atlanta Ice Cream Festival is an afternoon of fun for the whole family. From the Ice Cream Eating Contest for both kids and adults to the Wellness Activities that include Boom Shock Fitness, Exercise Routines, Yoga and Chinese Exercises from Falun Dafa Association of Atlanta, the festival has lots of events for everyone. There will also be Double Dutch Routines, Hula Hoop Competitions, Jump Rope Fun and Frisbee Toss. 





Admission is free. Ice cream and other food items are available for purchase.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jul 22</td><td>11am – 6pm</td></tr></tbody></table></dd>","Piedmont Park","1071 Piedmont Ave.
ATLANTA, GA 30309","<h3>Location</h3>
				<header class=""entry-header"">
					Piedmont Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>1071 Piedmont Ave.<br>ATLANTA, GA 30309</span></dd></dl>				<dl class=""pi-field wwwpiedmontparkorg"" title=""www.piedmontpark.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.piedmontpark.org"">www.piedmontpark.org</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@piedmontpark.org"">info@piedmontpark.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-875-7275"">404-875-7275</a></span></dd></dl>"
"Water Day","https://atlantaplanit.wabe.org/events/water-day/","Water Day","Aug 6","Free with Center Admission","Water Day is a celebration of water as summer winds down. Splash through sprinklers, meet water-loving community partners, play water games, and make water crafts!  Come dressed to get wet – swim suits, sunglasses, and flip flops are welcomed! Activities include fun with bubbles, water crafts, outdoor games and sidewalk chalk, Storytime and a raffle.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, Aug 6</td><td>12pm – 2pm</td></tr></tbody></table></dd>","Chattahoochee Nature Center","9135 Willeo Rd.
ROSWELL, GA 30075","<h3>Location</h3>
				<header class=""entry-header"">
					Chattahoochee Nature Center				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>9135 Willeo Rd.<br>ROSWELL, GA 30075</span></dd></dl>				<dl class=""pi-field wwwchattnaturecenterorg"" title=""www.chattnaturecenter.org/""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.chattnaturecenter.org/"">www.chattnaturecenter.org/</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:cnc.admissions@chattnaturecenter.org"">cnc.admissions@chattnaturecenter.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-992-2055"">770-992-2055</a></span></dd></dl>"
"JapanFest Atlanta","https://atlantaplanit.wabe.org/events/japanfest-atlanta/","JapanFest Atlanta","Sep 16 – Sep 17","General Admission","JapanFest Atlanta is a massive celebration of Japanese culture in Duluth. According to the event page, many of Georgia’s approximately 550 Japanese companies will be attending to show off their latest wares and technological accomplishments, including those in the world of electronics, automobiles and even farming equipment.





The festival celebrates the traditions of Japan as well as its modern, mainstream popular culture. Guests can experience a kimono fashion show, Kabuki theater, J-Pop and J-Rock, martial arts and pottery demonstrations and more. In addition, vendors offering japanese food and drink around the festival grounds. For fans of japanese animation, the Anime Village features anime goods, opportunities to cosplay, gaming and more.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 16</td><td>10am – 6pm</td></tr><tr><td>Sun, Sep 17</td><td>10am – 5pm</td></tr></tbody></table></dd>","Infinite Energy Center","6400 Sugarloaf Pkwy
DULUTH, GA 30097","<h3>Location</h3>
				<header class=""entry-header"">
					Infinite Energy Center				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>6400 Sugarloaf Pkwy<br>DULUTH, GA 30097</span></dd></dl>				<dl class=""pi-field wwwinfiniteenergycentercom"" title=""www.infiniteenergycenter.com/""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.infiniteenergycenter.com/"">www.infiniteenergycenter.com/</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@infiniteenergycenter.com"">info@infiniteenergycenter.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-813-7600"">770-813-7600</a></span></dd></dl>"
"Slingin’ Wings Festival","https://atlantaplanit.wabe.org/events/slingin-wings-festival/","Slingin’ Wings Festival","May 20","null","Atlanta Sport and Social Club is teaming up with POWER 96.1 and Radio 105.7 to bring you a seriously saucy wing and beer festival! Join us on Saturday, May 20th, for Slingin' Wings Festival where restaurants from all over the ATL will be slingin' chicken wings for your tasting pleasure!  In addition to a full day of good eats, they've got an awesome lineup of frosty brews, live local music, and all kinds of contests and activities to keep you entertained.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 20</td><td>12pm – 8pm</td></tr></tbody></table></dd>","Brookhaven Park","2660 Osborne Rd.
BROOKHAVEN, GA 30319","<h3>Location</h3>
				<header class=""entry-header"">
					Brookhaven Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>2660 Osborne Rd.<br>BROOKHAVEN, GA 30319</span></dd></dl>"
"Barefoot In The Park","https://atlantaplanit.wabe.org/events/barefoot-in-the-park/","Barefoot In The Park","May 13 – May 14","null","Don't miss the 13th Annual Barefoot in the Park, a fine artist market with performances and flavors at its new location, Buford Town Park at the Buford Community Center & Theatre. Expect new abundant crowds, a family-friendly environment with an upscale vibe! It’s one of Greater Atlanta and Northeast Georgia’s most exciting, accessible spring arts events in an affluent, upscale neighborhood and surrounding communities.





This event takes place at:


Buford Community Center and Theatre


2200 Buford Drive


Buford, GA 30518","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 13</td><td>10am – 6pm</td></tr><tr><td>Sun, May 14</td><td>10am – 5pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Sparkle in the Park","https://atlantaplanit.wabe.org/events/sparkle-in-the-park/","Sparkle in the Park","Jul 4","Free!","Join the City of Lilburn to celebrate July 4th with Sparkle in the Park. This annual event in Lilburn City Park includes live music with the Breakfast Club, a variety of food, children's activities, and of course, fireworks!





This event takes place at:


Lilburn City Park


76 Main St.


Lilburn, GA 30047","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Tue, Jul 4</td><td>5:30pm – 10pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"German Bierfest","https://atlantaplanit.wabe.org/events/german-bierfest/","German Bierfest","Aug 26","null","Atlanta's favorite and most authentic German party is back! Grab your lederhosen or dirndl and join them for the craziest beer tasting event in Atlanta! Now celebrating their 14th anniversary, the festival will serve up an incredible day of German beers, food and music.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Aug 26</td><td>2pm – 7pm</td></tr></tbody></table></dd>","Woodruff Park","Auburn Ave. NE and Peachtree St. NE
ATLANTA, GA 30303","<h3>Location</h3>
				<header class=""entry-header"">
					Woodruff Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>Auburn Ave. NE and Peachtree St. NE<br>ATLANTA, GA 30303</span></dd></dl>				<dl class=""pi-field wwwwoodruffparkcom"" title=""www.woodruffpark.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.woodruffpark.com"">www.woodruffpark.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:cooper@centralatlantaprogress.org"">cooper@centralatlantaprogress.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-215-9600"">404-215-9600</a></span></dd></dl>"
"Duluth Spring Arts Festival","https://atlantaplanit.wabe.org/events/duluth-spring-arts-festival/","Duluth Spring Arts Festival","Jun 10 – Jun 11","Free!","With an emphasis on the visual arts and family fun, this two day event event is presented by the Atlanta Foundation for Public Spaces for people of all ages, races, customs and interests. The festival features up to 125 painters, photographers, sculptors, leather and metalwork, glass blowers, jewelers and crafters! The Festival also offers artist demonstrations, live acoustic music, a children's play area, plus festival foods and beverages with healthy alternatives.





This event takes place at: 


Duluth Town Green 


3167 Main St.


Duluth, GA 30096","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 10</td><td>10am – 5pm</td></tr><tr><td>Sun, Jun 11</td><td>11am – 5pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
