event_img-src,event_title,event_tags,event_dates_html,venue_name,venue_url_html,event_url_html,event_item_html,event_date_span,Days,Time
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/01/ReinikeGallery_-_Interior.jpg","Reinike Gallery","Galleries","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jan 1 – Dec 31</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 5pm</td></tr></tbody></table></dd></dl>","Reinike Gallery","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/reinike-gallery/"">Reinike Gallery</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/reinike-gallery/"">Reinike Gallery</a>","<td class=""thumb"">
	<a title=""Reinike Gallery"" href=""https://atlantaplanit.wabe.org/events/reinike-gallery/""><img width=""200"" height=""200"" src=""/wp-content/uploads/2017/01/ReinikeGallery_-_Interior.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/01/ReinikeGallery_-_Interior.jpg 200w, /wp-content/uploads/2017/01/ReinikeGallery_-_Interior-63x63.jpg 63w"" sizes=""(max-width: 200px) 100vw, 200px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/reinike-gallery/"">Reinike Gallery</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/galleries/"" rel=""tag"">Galleries</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jan 1 – Dec 31</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 5pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/reinike-gallery/"">Reinike Gallery</a></span></dd></dl>	</td>","Jan 1 – Dec 31","Every","10am – 5pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/02/AtlBotG_-_Ribbit-300x300.jpg","Ribbit the Exhibit","Family Galleries","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Apr 15 – Jul 15</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 4pm</td></tr></tbody></table></dd></dl>","Atlanta Botanical Garden, Gainesville","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-botanical-garden-gainesville/"">Atlanta Botanical Garden, Gainesville</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/ribbit-the-exhibit/"">Ribbit the Exhibit</a>","<td class=""thumb"">
	<a title=""Ribbit the Exhibit"" href=""https://atlantaplanit.wabe.org/events/ribbit-the-exhibit/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/02/AtlBotG_-_Ribbit-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/02/AtlBotG_-_Ribbit-300x300.jpg 300w, /wp-content/uploads/2017/02/AtlBotG_-_Ribbit-63x63.jpg 63w, /wp-content/uploads/2017/02/AtlBotG_-_Ribbit.jpg 400w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/ribbit-the-exhibit/"">Ribbit the Exhibit</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/galleries/"" rel=""tag"">Galleries</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Apr 15 – Jul 15</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 4pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-botanical-garden-gainesville/"">Atlanta Botanical Garden, Gainesville</a></span></dd></dl>	</td>","Apr 15 – Jul 15","Every","10am – 4pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/MINT_-_M4-300x300.jpg","M4: Second Severn Crossing","Galleries","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Apr 22 – Jun 3</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 6pm<br>11am – 7pm</td></tr></tbody></table></dd></dl>","HATHAWAY | Contemporary Gallery","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/hathaway-contemporary-gallery/"">HATHAWAY | Contemporary Gallery</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/m4-second-severn-crossing/"">M4: Second Severn Crossing</a>","<td class=""thumb"">
	<a title=""M4: Second Severn Crossing"" href=""https://atlantaplanit.wabe.org/events/m4-second-severn-crossing/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/MINT_-_M4-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/MINT_-_M4-300x300.jpg 300w, /wp-content/uploads/2017/03/MINT_-_M4-63x63.jpg 63w, /wp-content/uploads/2017/03/MINT_-_M4.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/m4-second-severn-crossing/"">M4: Second Severn Crossing</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/galleries/"" rel=""tag"">Galleries</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Apr 22 – Jun 3</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 6pm<br>11am – 7pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/hathaway-contemporary-gallery/"">HATHAWAY | Contemporary Gallery</a></span></dd></dl>	</td>","Apr 22 – Jun 3","Every","10am – 6pm11am – 7pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/Oakland_-_Persephone-300x300.jpg","Arts at Oakland Presents: Persephone","Galleries Museums","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 20</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 20</td><td>6pm – 10pm</td></tr></tbody></table></dd></dl>","Oakland Cemetery","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/oakland-cemetery/"">Oakland Cemetery</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/arts-at-oakland-presents-persephone/"">Arts at Oakland Presents: Persephone</a>","<td class=""thumb"">
	<a title=""Arts at Oakland Presents: Persephone"" href=""https://atlantaplanit.wabe.org/events/arts-at-oakland-presents-persephone/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/Oakland_-_Persephone-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/Oakland_-_Persephone-300x300.jpg 300w, /wp-content/uploads/2017/04/Oakland_-_Persephone-63x63.jpg 63w, /wp-content/uploads/2017/04/Oakland_-_Persephone.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/arts-at-oakland-presents-persephone/"">Arts at Oakland Presents: Persephone</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/galleries/"" rel=""tag"">Galleries</a> <a href=""/museums/"" rel=""tag"">Museums</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 20</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 20</td><td>6pm – 10pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/oakland-cemetery/"">Oakland Cemetery</a></span></dd></dl>	</td>","May 20","Sat, May 20","6pm – 10pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/Atlanta_BeltLine_Lantern_Parade-300x300.jpg","Atlanta BeltLine Lantern Parade","Family Festivals Free Galleries","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Sep 9</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 9</td><td>7:30pm – 11pm</td></tr></tbody></table></dd></dl>","Atlanta","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/art-on-the-atlanta-beltline-lantern-parade/"">Atlanta BeltLine Lantern Parade</a>","<td class=""thumb"">
	<a title=""Atlanta BeltLine Lantern Parade"" href=""https://atlantaplanit.wabe.org/events/art-on-the-atlanta-beltline-lantern-parade/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2016/08/Atlanta_BeltLine_Lantern_Parade-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/08/Atlanta_BeltLine_Lantern_Parade-300x300.jpg 300w, /wp-content/uploads/2016/08/Atlanta_BeltLine_Lantern_Parade-63x63.jpg 63w, /wp-content/uploads/2016/08/Atlanta_BeltLine_Lantern_Parade.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/art-on-the-atlanta-beltline-lantern-parade/"">Atlanta BeltLine Lantern Parade</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a> <a href=""/galleries/"" rel=""tag"">Galleries</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Sep 9</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 9</td><td>7:30pm – 11pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl>	</td>","Sep 9","Sat, Sep 9","7:30pm – 11pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/High_-_Magdalene-300x300.jpg","Universal and Sublime: The Vessels of Magdalene Odundo","Galleries Museums","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 24 – Oct 15</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 5pm<br>10am – 9pm<br>12pm – 5pm</td></tr></tbody></table></dd></dl>","High Museum of Art","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/high-museum-of-art-2/"">High Museum of Art</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/universal-and-sublime-the-vessels-of-magdalene-odundo/"">Universal and Sublime: The Vessels of Magdalene Odundo</a>","<td class=""thumb"">
	<a title=""Universal and Sublime: The Vessels of Magdalene Odundo"" href=""https://atlantaplanit.wabe.org/events/universal-and-sublime-the-vessels-of-magdalene-odundo/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/High_-_Magdalene-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/High_-_Magdalene-300x300.jpg 300w, /wp-content/uploads/2017/04/High_-_Magdalene-63x63.jpg 63w, /wp-content/uploads/2017/04/High_-_Magdalene.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/universal-and-sublime-the-vessels-of-magdalene-odundo/"">Universal and Sublime: The Vessels of Magdalene Odundo</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/galleries/"" rel=""tag"">Galleries</a> <a href=""/museums/"" rel=""tag"">Museums</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 24 – Oct 15</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 5pm<br>10am – 9pm<br>12pm – 5pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/high-museum-of-art-2/"">High Museum of Art</a></span></dd></dl>	</td>","Jun 24 – Oct 15","Every","10am – 5pm10am – 9pm12pm – 5pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/Alan_Avery_-_Bicameral-300x300.jpg","BICAMERAL OBSCURA","Galleries","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Apr 28 – Jun 3</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 6pm<br>11am – 5pm</td></tr></tbody></table></dd></dl>","Alan Avery Art Company","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/alan-avery-art-company/"">Alan Avery Art Company</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/bicameral-obscura/"">BICAMERAL OBSCURA</a>","<td class=""thumb"">
	<a title=""BICAMERAL OBSCURA"" href=""https://atlantaplanit.wabe.org/events/bicameral-obscura/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/Alan_Avery_-_Bicameral-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/Alan_Avery_-_Bicameral-300x300.jpg 300w, /wp-content/uploads/2017/03/Alan_Avery_-_Bicameral-63x63.jpg 63w, /wp-content/uploads/2017/03/Alan_Avery_-_Bicameral.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/bicameral-obscura/"">BICAMERAL OBSCURA</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/galleries/"" rel=""tag"">Galleries</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Apr 28 – Jun 3</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 6pm<br>11am – 5pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/alan-avery-art-company/"">Alan Avery Art Company</a></span></dd></dl>	</td>","Apr 28 – Jun 3","Every","10am – 6pm11am – 5pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/MariettaCobbMuseumofArt_-_permanent_exhibits.jpg","Marietta/Cobb Museum of Art","Galleries Museums","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Dec 1, 2016 – Dec 31, 2017</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>11am – 5pm<br>11am – 4pm<br>1pm – 4pm</td></tr></tbody></table></dd></dl>","Marietta/Cobb Museum of Art","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/mariettacobb-museum-of-art/"">Marietta/Cobb Museum of Art</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/mariettacobb-museum-of-art-permanent-exhibits/"">Marietta/Cobb Museum of Art</a>","<td class=""thumb"">
	<a title=""Marietta/Cobb Museum of Art"" href=""https://atlantaplanit.wabe.org/events/mariettacobb-museum-of-art-permanent-exhibits/""><img width=""200"" height=""200"" src=""/wp-content/uploads/2016/06/MariettaCobbMuseumofArt_-_permanent_exhibits.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/06/MariettaCobbMuseumofArt_-_permanent_exhibits.jpg 200w, /wp-content/uploads/2016/06/MariettaCobbMuseumofArt_-_permanent_exhibits-63x63.jpg 63w"" sizes=""(max-width: 200px) 100vw, 200px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/mariettacobb-museum-of-art-permanent-exhibits/"">Marietta/Cobb Museum of Art</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/galleries/"" rel=""tag"">Galleries</a> <a href=""/museums/"" rel=""tag"">Museums</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Dec 1, 2016 – Dec 31, 2017</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>11am – 5pm<br>11am – 4pm<br>1pm – 4pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/mariettacobb-museum-of-art/"">Marietta/Cobb Museum of Art</a></span></dd></dl>	</td>","Dec 1, 2016 – Dec 31, 2017","Every","11am – 5pm11am – 4pm1pm – 4pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/05/Acworth_-_North_Cobb_Photography-300x300.jpg","North Cobb Photography and Art Show","Galleries","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 6 – May 27</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>3pm – 6pm<br>1pm – 6pm</td></tr></tbody></table></dd></dl>","Acworth Cultural Arts Center – Main Street Gallery","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/acworth-cultural-arts-center-main-street-gallery/"">Acworth Cultural Arts Center – Main Street Gallery</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/north-cobb-photography-and-art-show/"">North Cobb Photography and Art Show</a>","<td class=""thumb"">
	<a title=""North Cobb Photography and Art Show"" href=""https://atlantaplanit.wabe.org/events/north-cobb-photography-and-art-show/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/05/Acworth_-_North_Cobb_Photography-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/05/Acworth_-_North_Cobb_Photography-300x300.jpg 300w, /wp-content/uploads/2017/05/Acworth_-_North_Cobb_Photography-63x63.jpg 63w, /wp-content/uploads/2017/05/Acworth_-_North_Cobb_Photography.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/north-cobb-photography-and-art-show/"">North Cobb Photography and Art Show</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/galleries/"" rel=""tag"">Galleries</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 6 – May 27</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>3pm – 6pm<br>1pm – 6pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/acworth-cultural-arts-center-main-street-gallery/"">Acworth Cultural Arts Center – Main Street Gallery</a></span></dd></dl>	</td>","May 6 – May 27","Every","3pm – 6pm1pm – 6pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Emory_-_Postcards.jpg","All the World’s an eStage: Shakespeare Postcards in a Digital Age","Galleries","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Apr 22, 2016 – May 15, 2017</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>7:30am – 10pm<br>7:30am – 6pm<br>11am – 10pm</td></tr></tbody></table></dd></dl>","Emory University, Robert W. Woodruff Library","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/emory-university-robert-w-woodruff-library/"">Emory University, Robert W. Woodruff Library</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/all-the-worlds-an-estage-shakespeare-postcards-in-a-digital-age/"">All the World’s an eStage: Shakespeare Postcards in a Digital Age</a>","<td class=""thumb"">
	<a title=""All the World’s an eStage: Shakespeare Postcards in a Digital Age"" href=""https://atlantaplanit.wabe.org/events/all-the-worlds-an-estage-shakespeare-postcards-in-a-digital-age/""><img width=""280"" height=""280"" src=""/wp-content/uploads/2016/06/Emory_-_Postcards.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/06/Emory_-_Postcards.jpg 280w, /wp-content/uploads/2016/06/Emory_-_Postcards-63x63.jpg 63w"" sizes=""(max-width: 280px) 100vw, 280px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/all-the-worlds-an-estage-shakespeare-postcards-in-a-digital-age/"">All the World’s an eStage: Shakespeare Postcards in a Digital Age</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/galleries/"" rel=""tag"">Galleries</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Apr 22, 2016 – May 15, 2017</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>7:30am – 10pm<br>7:30am – 6pm<br>11am – 10pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/emory-university-robert-w-woodruff-library/"">Emory University, Robert W. Woodruff Library</a></span></dd></dl>	</td>","Apr 22, 2016 – May 15, 2017","Every","7:30am – 10pm7:30am – 6pm11am – 10pm"
