event_img-src,event_title,event_tags,event_dates_html,venue_name,venue_url_html,event_url_html,event_item_html,event_date_span,Days,Time
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Georgia_Capitol_-_WestElevation.jpg","Georgia Capitol Museum","Free Museums","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Dec 1, 2016 – Dec 31, 2017</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>8am – 5pm</td></tr></tbody></table></dd></dl>","Georgia Capitol Museum","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/georgia-capitol-museum-2/"">Georgia Capitol Museum</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/georgia-capitol-museum/"">Georgia Capitol Museum</a>","<td class=""thumb"">
	<a title=""Georgia Capitol Museum"" href=""https://atlantaplanit.wabe.org/events/georgia-capitol-museum/""><img width=""200"" height=""200"" src=""/wp-content/uploads/2016/06/Georgia_Capitol_-_WestElevation.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/06/Georgia_Capitol_-_WestElevation.jpg 200w, /wp-content/uploads/2016/06/Georgia_Capitol_-_WestElevation-63x63.jpg 63w"" sizes=""(max-width: 200px) 100vw, 200px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/georgia-capitol-museum/"">Georgia Capitol Museum</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/free/"" rel=""tag"">Free</a> <a href=""/museums/"" rel=""tag"">Museums</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Dec 1, 2016 – Dec 31, 2017</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>8am – 5pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/georgia-capitol-museum-2/"">Georgia Capitol Museum</a></span></dd></dl>	</td>","Dec 1, 2016 – Dec 31, 2017","Every","8am – 5pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/10/CDC_-_Gathany2-300x300.jpg","A Lens on CDC: Photographs of Jim Gathany","Museums","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Nov 15, 2016 – May 26, 2017</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>9pm – 5pm<br>9pm – 7pm</td></tr></tbody></table></dd></dl>","David J. Sencer CDC Museum","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/david-j-sencer-cdc-museum-2/"">David J. Sencer CDC Museum</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/a-lens-on-cdc-photographs-of-jim-gathany/"">A Lens on CDC: Photographs of Jim Gathany</a>","<td class=""thumb"">
	<a title=""A Lens on CDC: Photographs of Jim Gathany"" href=""https://atlantaplanit.wabe.org/events/a-lens-on-cdc-photographs-of-jim-gathany/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2016/10/CDC_-_Gathany2-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/10/CDC_-_Gathany2-300x300.jpg 300w, /wp-content/uploads/2016/10/CDC_-_Gathany2-63x63.jpg 63w, /wp-content/uploads/2016/10/CDC_-_Gathany2.jpg 338w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/a-lens-on-cdc-photographs-of-jim-gathany/"">A Lens on CDC: Photographs of Jim Gathany</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/museums/"" rel=""tag"">Museums</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Nov 15, 2016 – May 26, 2017</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>9pm – 5pm<br>9pm – 7pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/david-j-sencer-cdc-museum-2/"">David J. Sencer CDC Museum</a></span></dd></dl>	</td>","Nov 15, 2016 – May 26, 2017","Every","9pm – 5pm9pm – 7pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/Dia_de_los_Muertos_-_atlhistorycenter-300x300.jpg","Day of the Dead, Dia de los Muertos","Family Festivals Holiday Museums","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Oct 29</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, Oct 29</td><td>12pm – 5pm</td></tr></tbody></table></dd></dl>","Atlanta History Center","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-history-center-2/"">Atlanta History Center</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/day-of-the-dead-dia-de-los-muertos/"">Day of the Dead, Dia de los Muertos</a>","<td class=""thumb"">
	<a title=""Day of the Dead, Dia de los Muertos"" href=""https://atlantaplanit.wabe.org/events/day-of-the-dead-dia-de-los-muertos/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2016/09/Dia_de_los_Muertos_-_atlhistorycenter-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/09/Dia_de_los_Muertos_-_atlhistorycenter-300x300.jpg 300w, /wp-content/uploads/2016/09/Dia_de_los_Muertos_-_atlhistorycenter-63x63.jpg 63w, /wp-content/uploads/2016/09/Dia_de_los_Muertos_-_atlhistorycenter.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/day-of-the-dead-dia-de-los-muertos/"">Day of the Dead, Dia de los Muertos</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/holiday/"" rel=""tag"">Holiday</a> <a href=""/museums/"" rel=""tag"">Museums</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Oct 29</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, Oct 29</td><td>12pm – 5pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-history-center-2/"">Atlanta History Center</a></span></dd></dl>	</td>","Oct 29","Sun, Oct 29","12pm – 5pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/RCWM_-_Mead_Education_Center.jpg","Robert C. Williams Paper Museum","Free Museums","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jan 3 – Dec 29</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>9am – 5pm</td></tr></tbody></table></dd></dl>","Robert C. Williams Paper Museum","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/robert-c-williams-paper-museum/"">Robert C. Williams Paper Museum</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/robert-c-williams-paper-museum-permanent-exhibits/"">Robert C. Williams Paper Museum</a>","<td class=""thumb"">
	<a title=""Robert C. Williams Paper Museum"" href=""https://atlantaplanit.wabe.org/events/robert-c-williams-paper-museum-permanent-exhibits/""><img width=""200"" height=""200"" src=""/wp-content/uploads/2016/06/RCWM_-_Mead_Education_Center.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/06/RCWM_-_Mead_Education_Center.jpg 200w, /wp-content/uploads/2016/06/RCWM_-_Mead_Education_Center-63x63.jpg 63w"" sizes=""(max-width: 200px) 100vw, 200px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/robert-c-williams-paper-museum-permanent-exhibits/"">Robert C. Williams Paper Museum</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/free/"" rel=""tag"">Free</a> <a href=""/museums/"" rel=""tag"">Museums</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jan 3 – Dec 29</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>9am – 5pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/robert-c-williams-paper-museum/"">Robert C. Williams Paper Museum</a></span></dd></dl>	</td>","Jan 3 – Dec 29","Every","9am – 5pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/01/glo_-_mappings.jpg","Hourglass Exhibition Choreographic Mappings","Dance Museums","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Mar 5 – May 21</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>12:30pm – 4:30pm</td></tr></tbody></table></dd></dl>","High Museum of Art","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/high-museum-of-art-2/"">High Museum of Art</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/hourglass-exhibition-choreographic-mappings/"">Hourglass Exhibition Choreographic Mappings</a>","<td class=""thumb"">
	<a title=""Hourglass Exhibition Choreographic Mappings"" href=""https://atlantaplanit.wabe.org/events/hourglass-exhibition-choreographic-mappings/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/01/glo_-_mappings.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/01/glo_-_mappings.jpg 300w, /wp-content/uploads/2017/01/glo_-_mappings-63x63.jpg 63w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/hourglass-exhibition-choreographic-mappings/"">Hourglass Exhibition Choreographic Mappings</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/dance/"" rel=""tag"">Dance</a> <a href=""/museums/"" rel=""tag"">Museums</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Mar 5 – May 21</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>12:30pm – 4:30pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/high-museum-of-art-2/"">High Museum of Art</a></span></dd></dl>	</td>","Mar 5 – May 21","Every","12:30pm – 4:30pm"
"","null","null","null","null","null","null","<td colspan=""6"">

				<div class=""three-ads-section"">
	<p class=""section-heading"">Advertisements</p>
		<section class=""advert advert-block with-ad"" style=""display: block;"">
        		<!-- API_medium_1 -->
<div id=""API_medium_1"" class=""API_medium_1 advert"" data-google-query-id=""CKzHx6v25tMCFcF7wQodejQO-g"" data-is-empty=""0""><div id=""google_ads_iframe_/1003751/API_medium_1_0__container__"" style=""border: 0pt none; margin: auto; text-align: center;""><iframe id=""google_ads_iframe_/1003751/API_medium_1_0"" title=""3rd party ad content"" name=""google_ads_iframe_/1003751/API_medium_1_0"" width=""300"" height=""250"" scrolling=""no"" marginwidth=""0"" marginheight=""0"" frameborder=""0"" srcdoc="""" style=""border: 0px; vertical-align: bottom;""></iframe></div></div>
	</section>
	<section class=""advert advert-block with-ad"" style=""display: block;"">
        		<!-- API_medium_2 -->
<div id=""API_medium_2"" class=""API_medium_2 advert"" data-google-query-id=""CP3Sx6v25tMCFeZ4wQod2E0PvA"" data-is-empty=""0""><div id=""google_ads_iframe_/1003751/API_medium_2_0__container__"" style=""border: 0pt none; margin: auto; text-align: center;""><iframe id=""google_ads_iframe_/1003751/API_medium_2_0"" title=""3rd party ad content"" name=""google_ads_iframe_/1003751/API_medium_2_0"" width=""300"" height=""250"" scrolling=""no"" marginwidth=""0"" marginheight=""0"" frameborder=""0"" srcdoc="""" style=""border: 0px; vertical-align: bottom;""></iframe></div></div>
	</section>
	<section class=""advert advert-block with-ad"" style=""display: block;"">
        		<!-- API_medium_3 -->
<div id=""API_medium_3"" class=""API_medium_3 advert"" data-google-query-id=""CMXrx6v25tMCFYZ2wQodfigEuw"" data-is-empty=""0""><div id=""google_ads_iframe_/1003751/API_medium_3_0__container__"" style=""border: 0pt none; margin: auto; text-align: center;""><iframe id=""google_ads_iframe_/1003751/API_medium_3_0"" title=""3rd party ad content"" name=""google_ads_iframe_/1003751/API_medium_3_0"" width=""300"" height=""250"" scrolling=""no"" marginwidth=""0"" marginheight=""0"" frameborder=""0"" srcdoc="""" style=""border: 0px; vertical-align: bottom;""></iframe></div></div>
	</section>
</div>
				</td>","null","",""
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Marietta_Museum_-_Museum_Mice_New.jpg","Museum Mice Tour","Family Museums","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jan 11 – Dec 13</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Wed, Jan 11<br>Wed, Feb 8<br>Wed, Mar 8<br>Wed, Apr 12<br>Wed, May 10<br>Wed, Jun 14<br>Wed, Jul 12<br>Wed, Aug 9<br>Wed, Sep 13<br>Wed, Oct 11<br>Wed, Nov 8<br>Wed, Dec 13<br>Wed, Dec 20</td><td>10:30am – 11:30am</td></tr></tbody></table></dd></dl>","Marietta Museum of History","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/marietta-museum-of-history/"">Marietta Museum of History</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/museum-mice-tour/"">Museum Mice Tour</a>","<td class=""thumb"">
	<a title=""Museum Mice Tour"" href=""https://atlantaplanit.wabe.org/events/museum-mice-tour/""><img width=""200"" height=""200"" src=""/wp-content/uploads/2016/06/Marietta_Museum_-_Museum_Mice_New.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/06/Marietta_Museum_-_Museum_Mice_New.jpg 200w, /wp-content/uploads/2016/06/Marietta_Museum_-_Museum_Mice_New-63x63.jpg 63w"" sizes=""(max-width: 200px) 100vw, 200px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/museum-mice-tour/"">Museum Mice Tour</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/museums/"" rel=""tag"">Museums</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jan 11 – Dec 13</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Wed, Jan 11<br>Wed, Feb 8<br>Wed, Mar 8<br>Wed, Apr 12<br>Wed, May 10<br>Wed, Jun 14<br>Wed, Jul 12<br>Wed, Aug 9<br>Wed, Sep 13<br>Wed, Oct 11<br>Wed, Nov 8<br>Wed, Dec 13<br>Wed, Dec 20</td><td>10:30am – 11:30am</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/marietta-museum-of-history/"">Marietta Museum of History</a></span></dd></dl>	</td>","Jan 11 – Dec 13","Wed, Jan 11Wed, Feb 8Wed, Mar 8Wed, Apr 12Wed, May 10Wed, Jun 14Wed, Jul 12Wed, Aug 9Wed, Sep 13Wed, Oct 11Wed, Nov 8Wed, Dec 13Wed, Dec 20","10:30am – 11:30am"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/01/MODA_-_Playful_City-300x300.jpg","Designing a Playful City","Museums","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Feb 18, 2018 – Mar 18, 2018</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>12pm – 6pm<br>12pm – 8pm<br>10am – 6pm</td></tr></tbody></table></dd></dl>","Museum of Design Atlanta (MODA)","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/museum-of-design-atlanta-moda-2/"">Museum of Design Atlanta (MODA)</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/designing-a-playful-city/"">Designing a Playful City</a>","<td class=""thumb"">
	<a title=""Designing a Playful City"" href=""https://atlantaplanit.wabe.org/events/designing-a-playful-city/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/01/MODA_-_Playful_City-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/01/MODA_-_Playful_City-300x300.jpg 300w, /wp-content/uploads/2017/01/MODA_-_Playful_City-63x63.jpg 63w, /wp-content/uploads/2017/01/MODA_-_Playful_City.jpg 400w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/designing-a-playful-city/"">Designing a Playful City</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/museums/"" rel=""tag"">Museums</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Feb 18, 2018 – Mar 18, 2018</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>12pm – 6pm<br>12pm – 8pm<br>10am – 6pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/museum-of-design-atlanta-moda-2/"">Museum of Design Atlanta (MODA)</a></span></dd></dl>	</td>","Feb 18, 2018 – Mar 18, 2018","Every","12pm – 6pm12pm – 8pm10am – 6pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/11/MCMA_-_Martinis__Music2.jpg","Martinis & Music","Museums Music","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 5 – Nov 10</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, May 5<br>Fri, Aug 18<br>Fri, Nov 10</td><td>5:30pm – 8:30pm</td></tr></tbody></table></dd></dl>","Marietta/Cobb Museum of Art","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/mariettacobb-museum-of-art/"">Marietta/Cobb Museum of Art</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/martinis-music/"">Martinis &amp; Music</a>","<td class=""thumb"">
	<a title=""Martinis &amp; Music"" href=""https://atlantaplanit.wabe.org/events/martinis-music/""><img width=""200"" height=""200"" src=""/wp-content/uploads/2016/11/MCMA_-_Martinis__Music2.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/11/MCMA_-_Martinis__Music2.jpg 200w, /wp-content/uploads/2016/11/MCMA_-_Martinis__Music2-63x63.jpg 63w"" sizes=""(max-width: 200px) 100vw, 200px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/martinis-music/"">Martinis &amp; Music</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/museums/"" rel=""tag"">Museums</a> <a href=""/music/"" rel=""tag"">Music</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 5 – Nov 10</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, May 5<br>Fri, Aug 18<br>Fri, Nov 10</td><td>5:30pm – 8:30pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/mariettacobb-museum-of-art/"">Marietta/Cobb Museum of Art</a></span></dd></dl>	</td>","May 5 – Nov 10","Fri, May 5Fri, Aug 18Fri, Nov 10","5:30pm – 8:30pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Breman_-_Interior.jpg","The William Breman Jewish Heritage Museum","Museums","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Dec 1, 2016 – Dec 31, 2017</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 5pm<br>10am – 4pm</td></tr></tbody></table></dd></dl>","William Breman Jewish Heritage Museum, The","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/william-breman-jewish-heritage-museum-the/"">William Breman Jewish Heritage Museum, The</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/absence-of-humanity-the-holocaust-years-1933-1945/"">The William Breman Jewish Heritage Museum</a>","<td class=""thumb"">
	<a title=""The William Breman Jewish Heritage Museum"" href=""https://atlantaplanit.wabe.org/events/absence-of-humanity-the-holocaust-years-1933-1945/""><img width=""200"" height=""200"" src=""/wp-content/uploads/2016/06/Breman_-_Interior.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/06/Breman_-_Interior.jpg 200w, /wp-content/uploads/2016/06/Breman_-_Interior-63x63.jpg 63w"" sizes=""(max-width: 200px) 100vw, 200px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/absence-of-humanity-the-holocaust-years-1933-1945/"">The William Breman Jewish Heritage Museum</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/museums/"" rel=""tag"">Museums</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Dec 1, 2016 – Dec 31, 2017</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 5pm<br>10am – 4pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/william-breman-jewish-heritage-museum-the/"">William Breman Jewish Heritage Museum, The</a></span></dd></dl>	</td>","Dec 1, 2016 – Dec 31, 2017","Every","10am – 5pm10am – 4pm"
