event_img-src,event_title,event_tags,event_dates_html,venue_name,venue_url_html,event_url_html,event_item_html,event_date_span,Days,Time
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/OSA_-_Incorruptible-300x300.jpg","Incorruptible: A Dark Comedy about the Dark Ages","Theater","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 2 – Jun 25</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>8pm – 10:30pm<br>3pm – 5:30pm</td></tr></tbody></table></dd></dl>","OnStage Atlanta, Webber Stage","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/onstage-atlanta-webber-stage/"">OnStage Atlanta, Webber Stage</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/incorruptible-a-dark-comedy-about-the-dark-ages/"">Incorruptible: A Dark Comedy about the Dark Ages</a>","<td class=""thumb"">
	<a title=""Incorruptible: A Dark Comedy about the Dark Ages"" href=""https://atlantaplanit.wabe.org/events/incorruptible-a-dark-comedy-about-the-dark-ages/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/OSA_-_Incorruptible-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/OSA_-_Incorruptible-300x300.jpg 300w, /wp-content/uploads/2017/04/OSA_-_Incorruptible-63x63.jpg 63w, /wp-content/uploads/2017/04/OSA_-_Incorruptible.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/incorruptible-a-dark-comedy-about-the-dark-ages/"">Incorruptible: A Dark Comedy about the Dark Ages</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/theater/"" rel=""tag"">Theater</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 2 – Jun 25</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>8pm – 10:30pm<br>3pm – 5:30pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/onstage-atlanta-webber-stage/"">OnStage Atlanta, Webber Stage</a></span></dd></dl>	</td>","Jun 2 – Jun 25","Every","8pm – 10:30pm3pm – 5:30pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/RCAC_-_patsy_Cline.jpg","LIVE! In Roswell Presents: Today, Tomorrow & Forever – A Tribute to Patsy Cline","Music Theater","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 10</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 10</td><td>8pm – 10pm</td></tr></tbody></table></dd></dl>","Roswell Cultural Arts Center","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/roswell-cultural-arts-center/"">Roswell Cultural Arts Center</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/live-in-roswell-presents-today-tomorrow-forever-a-tribute-to-patsy-cline/"">LIVE! In Roswell Presents: Today, Tomorrow &amp; Forever – A Tribute to Patsy Cline</a>","<td class=""thumb"">
	<a title=""LIVE! In Roswell Presents: Today, Tomorrow &amp; Forever – A Tribute to Patsy Cline"" href=""https://atlantaplanit.wabe.org/events/live-in-roswell-presents-today-tomorrow-forever-a-tribute-to-patsy-cline/""><img width=""280"" height=""280"" src=""/wp-content/uploads/2016/07/RCAC_-_patsy_Cline.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/07/RCAC_-_patsy_Cline.jpg 280w, /wp-content/uploads/2016/07/RCAC_-_patsy_Cline-63x63.jpg 63w"" sizes=""(max-width: 280px) 100vw, 280px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/live-in-roswell-presents-today-tomorrow-forever-a-tribute-to-patsy-cline/"">LIVE! In Roswell Presents: Today, Tomorrow &amp; Forever – A Tribute to Patsy Cline</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a> <a href=""/theater/"" rel=""tag"">Theater</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 10</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 10</td><td>8pm – 10pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/roswell-cultural-arts-center/"">Roswell Cultural Arts Center</a></span></dd></dl>	</td>","Jun 10","Sat, Jun 10","8pm – 10pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/11/TO_-_Dancing_Handkerchief-1.jpg","The Dancing Handkerchief","Theater","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 1 – Jun 18</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>7:30pm – 9:30pm<br>2:30pm – 4:30pm</td></tr></tbody></table></dd></dl>","Theatrical Outfit at Balzer Theater at Herren’s","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/theatrical-outfit-at-balzer-theater-at-herrens/"">Theatrical Outfit at Balzer Theater at Herren’s</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/the-dancing-handkerchief-2/"">The Dancing Handkerchief</a>","<td class=""thumb"">
	<a title=""The Dancing Handkerchief"" href=""https://atlantaplanit.wabe.org/events/the-dancing-handkerchief-2/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2016/11/TO_-_Dancing_Handkerchief-1.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/11/TO_-_Dancing_Handkerchief-1.jpg 300w, /wp-content/uploads/2016/11/TO_-_Dancing_Handkerchief-1-60x60.jpg 60w, /wp-content/uploads/2016/11/TO_-_Dancing_Handkerchief-1-200x200.jpg 200w, /wp-content/uploads/2016/11/TO_-_Dancing_Handkerchief-1-63x63.jpg 63w, /wp-content/uploads/2016/11/TO_-_Dancing_Handkerchief-1-150x150.jpg 150w, /wp-content/uploads/2016/11/TO_-_Dancing_Handkerchief-1-220x220.jpg 220w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/the-dancing-handkerchief-2/"">The Dancing Handkerchief</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/theater/"" rel=""tag"">Theater</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 1 – Jun 18</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>7:30pm – 9:30pm<br>2:30pm – 4:30pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/theatrical-outfit-at-balzer-theater-at-herrens/"">Theatrical Outfit at Balzer Theater at Herren’s</a></span></dd></dl>	</td>","Jun 1 – Jun 18","Every","7:30pm – 9:30pm2:30pm – 4:30pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/Alliance_-_Shakespeare_in_Love-300x300.jpg","Shakespeare in Love","Theater","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Aug 30 – Sep 24</span></dd></dl>","Conant Performing Arts Center","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/conant-performing-arts-center/"">Conant Performing Arts Center</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/shakespeare-in-love/"">Shakespeare in Love</a>","<td class=""thumb"">
	<a title=""Shakespeare in Love"" href=""https://atlantaplanit.wabe.org/events/shakespeare-in-love/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/Alliance_-_Shakespeare_in_Love-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/Alliance_-_Shakespeare_in_Love-300x300.jpg 300w, /wp-content/uploads/2017/04/Alliance_-_Shakespeare_in_Love-63x63.jpg 63w, /wp-content/uploads/2017/04/Alliance_-_Shakespeare_in_Love.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/shakespeare-in-love/"">Shakespeare in Love</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/theater/"" rel=""tag"">Theater</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Aug 30 – Sep 24</span></dd></dl>			</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/conant-performing-arts-center/"">Conant Performing Arts Center</a></span></dd></dl>	</td>","Aug 30 – Sep 24","",""
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/Atlanta_Shortsfest-300x300.jpg","Atlanta Shortsfest","Festivals Theater","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jul 7 – Jul 8</span></dd></dl>","Synchronicity Theatre","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/synchronicity-theatre/"">Synchronicity Theatre</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/atlanta-shortsfest/"">Atlanta Shortsfest</a>","<td class=""thumb"">
	<a title=""Atlanta Shortsfest"" href=""https://atlantaplanit.wabe.org/events/atlanta-shortsfest/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/Atlanta_Shortsfest-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/Atlanta_Shortsfest-300x300.jpg 300w, /wp-content/uploads/2017/03/Atlanta_Shortsfest-63x63.jpg 63w, /wp-content/uploads/2017/03/Atlanta_Shortsfest.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/atlanta-shortsfest/"">Atlanta Shortsfest</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/theater/"" rel=""tag"">Theater</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jul 7 – Jul 8</span></dd></dl>			</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/synchronicity-theatre/"">Synchronicity Theatre</a></span></dd></dl>	</td>","Jul 7 – Jul 8","",""
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/Fernbank_-_Dream_Big-300x300.jpg","Dream Big","Family Museums Theater","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Mar 4 – Jun 16</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>11am – 11:40am<br>1pm – 1:40pm<br>3pm – 3:40pm<br>5pm – 5:40pm</td></tr></tbody></table></dd></dl>","Fernbank Museum of Natural History","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/fernbank-museum-of-natural-history/"">Fernbank Museum of Natural History</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/dream-big/"">Dream Big</a>","<td class=""thumb"">
	<a title=""Dream Big"" href=""https://atlantaplanit.wabe.org/events/dream-big/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/Fernbank_-_Dream_Big-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/Fernbank_-_Dream_Big-300x300.jpg 300w, /wp-content/uploads/2017/04/Fernbank_-_Dream_Big-63x63.jpg 63w, /wp-content/uploads/2017/04/Fernbank_-_Dream_Big.jpg 465w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/dream-big/"">Dream Big</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/museums/"" rel=""tag"">Museums</a> <a href=""/theater/"" rel=""tag"">Theater</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Mar 4 – Jun 16</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>11am – 11:40am<br>1pm – 1:40pm<br>3pm – 3:40pm<br>5pm – 5:40pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/fernbank-museum-of-natural-history/"">Fernbank Museum of Natural History</a></span></dd></dl>	</td>","Mar 4 – Jun 16","Every","11am – 11:40am1pm – 1:40pm3pm – 3:40pm5pm – 5:40pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/IMG_0403-601-300x300.jpg","The Elaborate Entrance of Chad Deity","Theater","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Sep 28 – Oct 15</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>7:30pm – 9:30pm<br>2:30pm – 4:30pm</td></tr></tbody></table></dd></dl>","Marietta’s New Theatre in the Square","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/mariettas-new-theatre-in-the-square/"">Marietta’s New Theatre in the Square</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/the-elaborate-entrance-of-chad-deity/"">The Elaborate Entrance of Chad Deity</a>","<td class=""thumb"">
	<a title=""The Elaborate Entrance of Chad Deity"" href=""https://atlantaplanit.wabe.org/events/the-elaborate-entrance-of-chad-deity/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/IMG_0403-601-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/IMG_0403-601-300x300.jpg 300w, /wp-content/uploads/2017/03/IMG_0403-601-63x63.jpg 63w, /wp-content/uploads/2017/03/IMG_0403-601-600x600.jpg 600w, /wp-content/uploads/2017/03/IMG_0403-601.jpg 715w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/the-elaborate-entrance-of-chad-deity/"">The Elaborate Entrance of Chad Deity</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/theater/"" rel=""tag"">Theater</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Sep 28 – Oct 15</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>7:30pm – 9:30pm<br>2:30pm – 4:30pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/mariettas-new-theatre-in-the-square/"">Marietta’s New Theatre in the Square</a></span></dd></dl>	</td>","Sep 28 – Oct 15","Every","7:30pm – 9:30pm2:30pm – 4:30pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/CPA_-_Cinderella_Della-300x300.jpg","Cinderella Della Circus","Family Theater","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 20 – Jul 23</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 11am<br>12pm – 1pm<br>11am – 12pm<br>1pm – 2pm<br>3pm – 4pm</td></tr></tbody></table></dd></dl>","Center for Puppetry Arts","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/center-for-puppetry-arts/"">Center for Puppetry Arts</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/cinderella-della-circus/"">Cinderella Della Circus</a>","<td class=""thumb"">
	<a title=""Cinderella Della Circus"" href=""https://atlantaplanit.wabe.org/events/cinderella-della-circus/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/CPA_-_Cinderella_Della-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/CPA_-_Cinderella_Della-300x300.jpg 300w, /wp-content/uploads/2017/04/CPA_-_Cinderella_Della-63x63.jpg 63w, /wp-content/uploads/2017/04/CPA_-_Cinderella_Della.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/cinderella-della-circus/"">Cinderella Della Circus</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/theater/"" rel=""tag"">Theater</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 20 – Jul 23</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 11am<br>12pm – 1pm<br>11am – 12pm<br>1pm – 2pm<br>3pm – 4pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/center-for-puppetry-arts/"">Center for Puppetry Arts</a></span></dd></dl>	</td>","Jun 20 – Jul 23","Every","10am – 11am12pm – 1pm11am – 12pm1pm – 2pm3pm – 4pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/11/ASC_-_Richard_Third.jpg","Richard The Third","Theater","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 17 – Jun 25</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>7:30pm – 9:30pm<br>6:30pm – 8:30pm</td></tr></tbody></table></dd></dl>","New American Shakespeare Tavern","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/new-american-shakespeare-tavern/"">New American Shakespeare Tavern</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/richard-the-third/"">Richard The Third</a>","<td class=""thumb"">
	<a title=""Richard The Third"" href=""https://atlantaplanit.wabe.org/events/richard-the-third/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2016/11/ASC_-_Richard_Third.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/11/ASC_-_Richard_Third.jpg 300w, /wp-content/uploads/2016/11/ASC_-_Richard_Third-63x63.jpg 63w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/richard-the-third/"">Richard The Third</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/theater/"" rel=""tag"">Theater</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 17 – Jun 25</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>7:30pm – 9:30pm<br>6:30pm – 8:30pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/new-american-shakespeare-tavern/"">New American Shakespeare Tavern</a></span></dd></dl>	</td>","Jun 17 – Jun 25","Every","7:30pm – 9:30pm6:30pm – 8:30pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/Shopkins_Live-300x300.jpg","Shopkins Live!","Family Theater","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Oct 7</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Oct 7</td><td>3pm – 6pm</td></tr></tbody></table></dd></dl>","Fox Theatre","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/fox-theatre/"">Fox Theatre</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/shopkins-live/"">Shopkins Live!</a>","<td class=""thumb"">
	<a title=""Shopkins Live!"" href=""https://atlantaplanit.wabe.org/events/shopkins-live/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/Shopkins_Live-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/Shopkins_Live-300x300.jpg 300w, /wp-content/uploads/2017/04/Shopkins_Live-63x63.jpg 63w, /wp-content/uploads/2017/04/Shopkins_Live.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/shopkins-live/"">Shopkins Live!</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/theater/"" rel=""tag"">Theater</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Oct 7</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Oct 7</td><td>3pm – 6pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/fox-theatre/"">Fox Theatre</a></span></dd></dl>	</td>","Oct 7","Sat, Oct 7","3pm – 6pm"
