alphabet_links,alphabet_links-href,venue_link,venue_link-href,venue_name,venue_phone,venue_website,venue_description,accessibility_table,parking_information,venue_email,venue_address,venue_image-src
"F","https://atlantaplanit.wabe.org/venues/F/","First Baptist Church of Decatur","https://atlantaplanit.wabe.org/venues/first-baptist-church-of-decatur/","First Baptist Church of Decatur","404-373-1653","308 Clairmont Ave.
DECATUR, GA 30030","First Baptist Church of Decatur occasionally hosts lectures and special music performances.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","arussell@fbcdecatur.com","308 Clairmont Ave.
DECATUR, GA 30030","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/FirstBaptistChurchDecatur.jpg"
"G","https://atlantaplanit.wabe.org/venues/G/","Glover Park","https://atlantaplanit.wabe.org/venues/glover-park/","Glover Park","770-794-5601","50 Park Square
MARIETTA, GA 30060","Glover Park, located in the heart of Marietta, features beautiful landscaping, a stage with sound equipment, a classic gazebo, a playground, abundant park benches, and a gorgeously lit fountain.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","Street parking is available.","770-794-5635","50 Park Square
MARIETTA, GA 30060","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/GloverPArk.jpg"
"D","https://atlantaplanit.wabe.org/venues/D/","David J. Sencer CDC Museum","https://atlantaplanit.wabe.org/venues/david-j-sencer-cdc-museum-2/","David J. Sencer CDC Museum","404-639-0830","Centers for Disease Control and Prevention
1600 Clifton Rd. NE
ATLANTA, GA 30333","David J. Sencer CDC Museum, located at the Centers for Disease Control and Prevention's headquarters, is a Smithsonian Affiliate. The museum is an educational facility designed to teach about the Centers for Disease Control and Prevention, public health and the benefits of prevention through innovative educational programs for students and teachers and award-winning permanent, temporary and traveling exhibits. The museum is open to the public, and no reservations are required.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","When you enter the Centers for Disease Control and Prevention campus on CDC Parkway, veer right to proceed to the security checkpoint. Identify yourself as a visitor to the CDC Museum. Security officers will ask to see your picture ID (driver's license or passport) and will do a quick scan of the undercarriage of your car, van or bus. Security officers will then ask you to open both the truck and the hood of your car for inspection. You will then be directed to the visitor parking deck (straight ahead). When you walk into the Tom Harkin Global Communications Center from the parking deck (ground level), you are entering the David J. Sencer CDC Museum lobby. Once inside, you will be asked to show your picture ID again. Security officers will create a security badge that will give you access to the museum. Please remember to bring a government-issued photo ID (driver's license or passport).","museum@cdc.gov","Centers for Disease Control and Prevention
1600 Clifton Rd. NE
ATLANTA, GA 30333","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/GHOM_-_Exterior.jpg"
"T","https://atlantaplanit.wabe.org/venues/T/","TEW Galleries","https://atlantaplanit.wabe.org/venues/tew-galleries/","TEW Galleries","404-869-0511","425 Peachtree Hills Ave.
Suite 24
ATLANTA, GA 30305","TEW Galleries is located in The Galleries of Peachtree Hills, Atlanta's newest and finest shopping complex devoted to art, antiques and interiors. The organization is housed in an elegant, three-story town home that taps into the vibrant energy of the art. Exclusive openings and innovative events ensure that the TEW Galleries community of artists, collectors, designers and consultants, along with its friends, are the first to know about significant new work and emerging trends.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available. MARTA: Take the Red/Gold line to the Lindbergh station. Exit south onto Lindbergh Lane NE. Turn right on Lindbergh Drive, then left onto Peachtree Hills Avenue. The gallery will be on your left in the Galleries of Peachtree Hills. Turn right onto Lindbergh Way NE 0.2 mi Turn left onto Peachtree Hills Ave NE","jules@tewgalleries.com","425 Peachtree Hills Ave.
Suite 24
ATLANTA, GA 30305","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/TEW_-_Interior.jpg"
"B","https://atlantaplanit.wabe.org/venues/B/","Blue Heron Nature Preserve","https://atlantaplanit.wabe.org/venues/blue-heron-nature-preserve/","Blue Heron Nature Preserve","404-345-1008","4055 Roswell Rd. NE
ATLANTA, GA 30342","The Blue Heron Nature Preserve is a combination of four pieces of land along and around Nancy Creek. The Preserve is a 25 acre natural wilderness located just off heavily-trafficked Roswell Road in Atlanta.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","Free parking is available.","annes@bhnp.org","4055 Roswell Rd. NE
ATLANTA, GA 30342","https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/Bh_-_Venue.jpg"
"E","https://atlantaplanit.wabe.org/venues/E/","Emory University, Glenn Memorial Auditorium","https://atlantaplanit.wabe.org/venues/emory-university-glenn-memorial-auditorium/","Emory University, Glenn Memorial Auditorium","404-727-5050","1652 North Decatur Rd.
ATLANTA, GA 30322","Glenn Auditorium is used jointly by Emory University as an auditorium and by Glenn Memorial United Methodist Church as a sanctuary. It holds 1,200 people, and from the time of its opening in 1931 until 2003, Glenn was used as available as the primary performance and rehearsal venue for music.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available on weekends and after 5 p.m. on weekdays in the Lowergate South, Fishburne (next door to Schwartz Center) and Peavine parking decks. Paid visitor parking is available 24 hours a day.","null","1652 North Decatur Rd.
ATLANTA, GA 30322","https://atlantaplanit.wabe.org/wp-content/uploads/2016/10/Emory_-_Glenn_Auditorium.jpg"
"N","https://atlantaplanit.wabe.org/venues/N/","National Museum of Decorative Painting","https://atlantaplanit.wabe.org/venues/national-museum-of-decorative-painting-2/","National Museum of Decorative Painting","404-351-1151","1406 Woodmont Lane
ATLANTA, GA 30318","National Museum of Decorative Painting was created in 1982 for the purpose of collecting, preserving and displaying the art of decorative painting. The museum houses more than 1,500 examples of decorative painting of historical and contemporary significance and of artistic merit. Additionally the museum provides exhibitions and educational programs for the public to increase appreciation and understanding of decorative painting, its heritage, methods and techniques.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","info@dpmuseum.org","1406 Woodmont Lane
ATLANTA, GA 30318","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/NMDP_-_Exterior.jpg"
"B","https://atlantaplanit.wabe.org/venues/B/","Barrington Hall","https://atlantaplanit.wabe.org/venues/barrington-hall-2/","Barrington Hall","770-640-3855","535 Barrington Dr.
ROSWELL, GA 30075","Aristocrats from the Georgia sea coast, seeking a healthier climate, selected the site of Roswell on the bluffs overlooking the creeks of the Chattahoochee River to build their plantation homes in the early 19th century. Barrington King, co-founder of Roswell, selected the highest point in Roswell for his home, Barrington Hall. It was built in the Greek Revival style of architecture and was completed in 1842. The home remained in the hands of the Barrington King Family until 2002. Barrington Hall is listed on the National Register and was included in Atlanta Magazine's list of the ""50 Most Beautiful Homes in Metro Atlanta.""","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Barrington Hall is located on the south side of the Historic Roswell Square at the intersection of GA Hwy 120 and GA Hwy 9. Free parking is available.","rwinebarger@roswellgov.com","535 Barrington Dr.
ROSWELL, GA 30075","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Barrington_Hall_-_Lavendar_Festival-1.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","The Art Station – Big Shanty","https://atlantaplanit.wabe.org/venues/art-station-big-shanty-the/","The Art Station – Big Shanty","770-514-5930","2050 Kennesaw Due West Rd.
KENNESAW, GA 30152","With two multi-media classrooms, a black-and-white photography darkroom, a pottery studio, a meeting space and a gallery, this creative facility is an excellent addition to the Cobb County Parks, Recreation & Cultural Affairs department. Programming includes classes and workshops in the visual, performing and literary arts during Fall, Winter and Spring quarters. Visual arts, dance and theater camps for children are offered during the Summer quarter, and exhibitions are presented year-round.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","meryl.manfre@cobbcounty.org","2050 Kennesaw Due West Rd.
KENNESAW, GA 30152","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/Art_Station-big_shanty-_logo.jpg"
"T","https://atlantaplanit.wabe.org/venues/T/","Theatrical Outfit at Balzer Theater at Herren’s","https://atlantaplanit.wabe.org/venues/theatrical-outfit-at-balzer-theater-at-herrens/","Theatrical Outfit at Balzer Theater at Herren’s","678-528-1500","84 Luckie St. NW
ATLANTA, GA 30303","Balzer Theater at Herren's, home of Atlanta's third oldest professional theater company, Theatrical Outfit, was the former site of Herren's Restaurant. It was rennovated between 2002 and 2005 and turned into a perfomance space. The theater has stadium-style seating for 199 people with a 21' by 60' performance space.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available in multiple lots and garages on Luckie Street. MARTA: Take MARTA to the Peachtree Center Station and leave by the Peachtree West/Ellis Street exit (follow the signs to the library). Upon exiting the station, cross Carnegie Street and walk two blocks down Forsyth Street. Turn right on Luckie Street. The Balzer Theater is on the left next to the Rialto Center.","boxoffice@theatricaloutfit.org","84 Luckie St. NW
ATLANTA, GA 30303","https://atlantaplanit.wabe.org/wp-content/uploads/2016/11/Theatrical_Outfit.jpg"
